dt_autuacao,n_processos,assunto,unidade,status
16/05/2022,1020.2022/0008815-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Não Emitida
18/05/2022,1020.2022/0009006-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Não Emitida
29/06/2022,1020.2022/0011566-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
03/08/2022,1020.2022/0013902-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
27/09/2022,1020.2022/0018432-7,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Não Emitida
09/11/2022,1020.2022/0021402-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
11/11/2022,1020.2022/0021666-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
17/11/2022,1020.2022/0021905-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
06/04/2023,1020.2023/0006115-4,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Não Emitida
11/04/2023,1020.2023/0006366-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
24/04/2023,1020.2023/0007236-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
02/05/2023,1020.2023/0007801-4,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
02/05/2023,1020.2023/0007802-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
10/05/2023,1020.2023/0008383-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Não Emitida
12/05/2023,1020.2023/0008652-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
12/05/2023,1020.2023/0008701-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
12/05/2023,1020.2023/0008704-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
12/05/2023,1020.2023/0008706-4,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
12/05/2023,1020.2023/0008708-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
