dt_autuacao,n_processos,assunto,unidade,status
07/01/2020,6068.2020/0000001-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
07/01/2020,6068.2020/0000001-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
09/01/2020,6068.2020/0000002-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
09/01/2020,6068.2020/0000002-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
13/01/2020,6068.2020/0000004-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
13/01/2020,6068.2020/0000004-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
15/01/2020,6068.2020/0000005-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
15/01/2020,6068.2020/0000005-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
15/01/2020,6068.2020/0000008-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
15/01/2020,6068.2020/0000008-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
15/01/2020,6068.2020/0000010-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
15/01/2020,6068.2020/0000010-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
15/01/2020,6068.2020/0000011-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
15/01/2020,6068.2020/0000011-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
16/01/2020,6068.2020/0000019-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
16/01/2020,6068.2020/0000019-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
17/01/2020,1020.2020/0000001-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
17/01/2020,1020.2020/0000001-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
18/01/2020,1020.2020/0000016-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
18/01/2020,1020.2020/0000016-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
20/01/2020,1020.2020/0000017-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
20/01/2020,1020.2020/0000017-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
23/01/2020,1020.2020/0000075-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
23/01/2020,1020.2020/0000075-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
24/01/2020,1020.2020/0000081-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
24/01/2020,1020.2020/0000081-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
25/01/2020,1020.2020/0000119-9,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
25/01/2020,1020.2020/0000119-9,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
31/01/2020,1020.2020/0000267-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
31/01/2020,1020.2020/0000267-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
04/02/2020,1020.2020/0000308-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Em Análise
04/02/2020,1020.2020/0000308-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Em Análise
04/02/2020,1020.2020/0000309-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
04/02/2020,1020.2020/0000309-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
04/02/2020,1020.2020/0000311-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
04/02/2020,1020.2020/0000311-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
04/02/2020,1020.2020/0000316-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
04/02/2020,1020.2020/0000316-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
04/02/2020,1020.2020/0000321-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
04/02/2020,1020.2020/0000321-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
04/02/2020,1020.2020/0000328-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
04/02/2020,1020.2020/0000328-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
05/02/2020,1020.2020/0000333-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
05/02/2020,1020.2020/0000333-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
05/02/2020,1020.2020/0000337-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
05/02/2020,1020.2020/0000337-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
05/02/2020,1020.2020/0000338-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
05/02/2020,1020.2020/0000338-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
05/02/2020,1020.2020/0000339-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
05/02/2020,1020.2020/0000339-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
05/02/2020,1020.2020/0000345-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
05/02/2020,1020.2020/0000345-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000357-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000357-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000360-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000360-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000362-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000362-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000364-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000364-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000365-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000365-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000367-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000367-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000369-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000369-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000371-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000371-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000374-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000374-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000376-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000376-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000383-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000383-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000384-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
06/02/2020,1020.2020/0000384-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-1,Indeferida
