dt_autuacao,n_processos,assunto,unidade,status
21/01/2020,1020.2020/0000022-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
21/01/2020,1020.2020/0000027-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
22/01/2020,1020.2020/0000034-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
22/01/2020,1020.2020/0000034-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
22/01/2020,1020.2020/0000034-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
22/01/2020,1020.2020/0000043-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
23/01/2020,1020.2020/0000049-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
23/01/2020,1020.2020/0000049-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
23/01/2020,1020.2020/0000050-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
23/01/2020,1020.2020/0000050-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
23/01/2020,1020.2020/0000050-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
23/01/2020,1020.2020/0000053-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
23/01/2020,1020.2020/0000053-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
23/01/2020,1020.2020/0000053-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
23/01/2020,1020.2020/0000060-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
23/01/2020,1020.2020/0000073-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
24/01/2020,1020.2020/0000077-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
24/01/2020,1020.2020/0000077-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
24/01/2020,1020.2020/0000077-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
24/01/2020,1020.2020/0000080-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
24/01/2020,1020.2020/0000082-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
24/01/2020,1020.2020/0000082-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
24/01/2020,1020.2020/0000083-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
24/01/2020,1020.2020/0000083-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
24/01/2020,1020.2020/0000083-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
24/01/2020,1020.2020/0000092-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
24/01/2020,1020.2020/0000092-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
24/01/2020,1020.2020/0000096-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
24/01/2020,1020.2020/0000096-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
24/01/2020,1020.2020/0000099-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
24/01/2020,1020.2020/0000099-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
25/01/2020,1020.2020/0000108-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
25/01/2020,1020.2020/0000108-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
25/01/2020,1020.2020/0000116-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
25/01/2020,1020.2020/0000116-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
25/01/2020,1020.2020/0000116-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
25/01/2020,1020.2020/0000120-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
25/01/2020,1020.2020/0000120-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
25/01/2020,1020.2020/0000120-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
28/01/2020,1020.2020/0000127-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
28/01/2020,1020.2020/0000127-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
29/01/2020,1020.2020/0000137-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
29/01/2020,1020.2020/0000137-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
29/01/2020,1020.2020/0000147-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
29/01/2020,1020.2020/0000147-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
29/01/2020,1020.2020/0000149-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
29/01/2020,1020.2020/0000149-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
30/01/2020,1020.2020/0000227-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
30/01/2020,1020.2020/0000232-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
30/01/2020,1020.2020/0000233-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
30/01/2020,1020.2020/0000238-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
30/01/2020,1020.2020/0000238-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
30/01/2020,1020.2020/0000242-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
30/01/2020,1020.2020/0000242-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Em Análise
31/01/2020,1020.2020/0000263-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
31/01/2020,1020.2020/0000263-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC-GTEC-2-Análise,Indeferida
