dt_autuacao,n_processos,assunto,unidade,status
07/01/2020,6068.2020/0000001-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
13/01/2020,6068.2020/0000004-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
15/01/2020,6068.2020/0000011-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Aguardando DTCO
23/01/2020,1020.2020/0000054-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
23/01/2020,1020.2020/0000063-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Aguardando Pagamento Guia
23/01/2020,1020.2020/0000064-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
23/01/2020,1020.2020/0000075-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
24/01/2020,1020.2020/0000093-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
25/01/2020,1020.2020/0000110-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
27/01/2020,1020.2020/0000124-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
27/01/2020,1020.2020/0000125-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
29/01/2020,1020.2020/0000181-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
30/01/2020,1020.2020/0000226-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
31/01/2020,1020.2020/0000267-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
31/01/2020,1020.2020/0000274-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Aguardando DTCO
31/01/2020,1020.2020/0000278-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
04/02/2020,1020.2020/0000309-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
04/02/2020,1020.2020/0000311-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
04/02/2020,1020.2020/0000312-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
04/02/2020,1020.2020/0000316-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
04/02/2020,1020.2020/0000319-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
04/02/2020,1020.2020/0000321-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
04/02/2020,1020.2020/0000325-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
05/02/2020,1020.2020/0000339-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
06/02/2020,1020.2020/0000365-5,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Aguardando Pagamento Guia
06/02/2020,1020.2020/0000367-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
06/02/2020,1020.2020/0000369-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
06/02/2020,1020.2020/0000374-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
06/02/2020,1020.2020/0000374-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
06/02/2020,1020.2020/0000384-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
07/02/2020,1020.2020/0000414-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Em proposta de deferimento
07/02/2020,1020.2020/0000416-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
07/02/2020,1020.2020/0000423-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Em proposta de deferimento
07/02/2020,1020.2020/0000424-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Em proposta de deferimento
08/02/2020,1020.2020/0000434-1,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
08/02/2020,1020.2020/0000442-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
08/02/2020,1020.2020/0000450-3,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
11/02/2020,1020.2020/0000470-8,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Em proposta de indeferimento
11/02/2020,1020.2020/0000483-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
11/02/2020,1020.2020/0000485-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
11/02/2020,1020.2020/0000492-9,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
11/02/2020,1020.2020/0000497-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Aguardando Pagamento Guia
12/02/2020,1020.2020/0000567-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
12/02/2020,1020.2020/0000578-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Em Análise
12/02/2020,1020.2020/0000583-6,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
12/02/2020,1020.2020/0000599-2,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
13/02/2020,1020.2020/0000610-7,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
13/02/2020,1020.2020/0000614-0,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Aguardando DTCO
13/02/2020,1020.2020/0000651-4,CERTIFICADO DE REGULARIZAÇÃO - Lei 17.202/2019,SEL-GTEC,Indeferida
