dt_abertura,n_processos,n_protocolo,assunto,aditivo,tipo_requerimento,competencia,unidade,status
2015-04-17 18:01:25,2015-0.100.698-0,367-18,Alvará de Licença para Residências Unifamiliares,Inicial,1º Recurso,SMUL,CAEPP-DERPP,Indeferido
2015-04-17 18:01:25,2015-0.100.698-0,10715-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-17 18:01:34,2015-0.100.699-8,13212-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-20 18:01:30,2015-0.100.964-4,17555-15,Alvará de Licença para Residências Unifamiliares,Inicial,Reconsideração,SMUL,CAEPP-DERPP,Indeferido
2015-04-20 18:01:30,2015-0.100.964-4,13453-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-20 18:02:03,2015-0.100.966-0,18987-15,Alvará de Licença para Residências Unifamiliares,Inicial,Reconsideração,SMUL,CAEPP-DERPP,Indeferido
2015-04-20 18:02:03,2015-0.100.966-0,13675-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-20 18:02:03,2015-0.100.966-0,23270-15,Alvará de Licença para Residências Unifamiliares,Inicial,1º Recurso,SMUL,CAEPP-DERPP,Indeferido
2015-04-20 18:02:11,2015-0.100.970-9,13418-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-20 18:03:28,2015-0.100.980-6,13587-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-20 18:03:29,2015-0.100.979-2,15844-15,Alvará de Licença para Residências Unifamiliares,Inicial,Reconsideração,SMUL,CAEPP-DERPP,Indeferido
2015-04-20 18:03:29,2015-0.100.979-2,13362-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-20 18:05:58,2015-0.100.996-2,18843-15,Alvará de Licença para Residências Unifamiliares,Inicial,Reconsideração,SMUL,CAEPP-DERPP,Indeferido
2015-04-20 18:05:58,2015-0.100.996-2,13530-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-20 18:06:11,2015-0.100.997-0,13317-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-23 18:01:48,2015-0.104.087-8,13607-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-23 18:02:25,2015-0.104.092-4,21230-15,Alvará de Licença para Residências Unifamiliares,Inicial,1º Recurso,SMUL,CAEPP-DERPP,Indeferido
2015-04-23 18:02:25,2015-0.104.092-4,13758-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-23 18:02:25,2015-0.104.092-4,17179-15,Alvará de Licença para Residências Unifamiliares,Inicial,Reconsideração,SMUL,CAEPP-DERPP,Indeferido
2015-04-23 18:09:07,2015-0.104.122-0,13612-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-23 18:10:41,2015-0.104.132-7,20182-15,Alvará de Licença para Residências Unifamiliares,Inicial,Reconsideração,SMUL,CAEPP-DERPP,Indeferido
2015-04-23 18:10:41,2015-0.104.132-7,13766-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-23 18:14:29,2015-0.104.143-2,19282-15,Alvará de Licença para Residências Unifamiliares,Inicial,Reconsideração,SMUL,CAEPP-DERPP,Indeferido
2015-04-23 18:14:29,2015-0.104.143-2,13805-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-23 18:15:12,2015-0.104.158-0,13746-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-23 18:22:05,2015-0.104.116-5,33988-15,Alvará de Licença para Residências Unifamiliares,Inicial,1º Recurso,SMUL,CAEPP-DERPP,Indeferido
2015-04-23 18:22:05,2015-0.104.116-5,18761-15,Alvará de Licença para Residências Unifamiliares,Inicial,Reconsideração,SMUL,CAEPP-DERPP,Indeferido
2015-04-23 18:22:05,2015-0.104.116-5,13512-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-24 18:01:09,2015-0.105.669-3,23805-15,Alvará de Licença para Residências Unifamiliares,Inicial,1º Recurso,SMUL,CAEPP-DERPP,Indeferido
2015-04-24 18:01:09,2015-0.105.669-3,13338-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-24 18:01:09,2015-0.105.669-3,21250-15,Alvará de Licença para Residências Unifamiliares,Inicial,Reconsideração,SMUL,CAEPP-DERPP,Indeferido
2015-04-24 18:03:22,2015-0.105.685-5,43221-15,Alvará de Licença para Residências Unifamiliares,Inicial,2º Recurso,SMUL,CAEPP-DERPP,Indeferido
2015-04-24 18:03:22,2015-0.105.685-5,20048-15,Alvará de Licença para Residências Unifamiliares,Inicial,Reconsideração,SMUL,CAEPP-DERPP,Indeferido
2015-04-24 18:03:22,2015-0.105.685-5,22705-15,Alvará de Licença para Residências Unifamiliares,Inicial,1º Recurso,SMUL,CAEPP-DERPP,Indeferido
2015-04-24 18:03:22,2015-0.105.685-5,14099-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-24 18:03:43,2015-0.105.686-3,14175-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-24 18:03:46,2015-0.105.687-1,14064-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-24 18:04:06,2015-0.105.688-0,14177-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
2015-04-24 18:05:23,2015-0.105.691-0,16388-16,Alvará de Licença para Residências Unifamiliares,Inicial,1º Recurso,SMUL,CAEPP-DERPP,Indeferido
2015-04-24 18:05:23,2015-0.105.691-0,19235-15,Alvará de Licença para Residências Unifamiliares,Inicial,Reconsideração,SMUL,CAEPP-DERPP,Indeferido
2015-04-24 18:05:23,2015-0.105.691-0,14168-15,Alvará de Licença para Residências Unifamiliares,Inicial,Inicial,SMUL,CAEPP-DERPP,Indeferido
