dt_abertura,n_processos,n_protocolo,assunto,aditivo,tipo_requerimento,competencia,unidade,status
2021-01-06 13:28:51,2021-0.000.052-3,39276-20,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-06 20:16:08,2021-0.000.101-5,32423-22,Alvará de Aprovação de Reforma,Inicial,1º Recurso,SMUL,CAEPP,Em Análise
2021-01-06 20:20:19,2021-0.000.103-1,38770-20,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-07 18:22:15,2021-0.000.117-1,38045-20,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-07 18:30:19,2021-0.000.118-0,38788-20,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-07 18:40:46,2021-0.000.120-1,39307-20,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-08 18:45:02,2021-0.000.173-2,57-21,Alvará de Reparcelamento de Lote,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-08 18:50:19,2021-0.000.174-0,75-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-08 20:21:14,2021-0.000.194-5,32704-20,Alvará de Remembramento de Lote,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-11 19:43:33,2021-0.000.237-2,38312-20,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-11 20:03:52,2021-0.000.242-9,39345-20,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Indeferido
2021-01-11 20:03:52,2021-0.000.242-9,26478-23,Alvará de Aprovação de Edificação Nova,Inicial,1º Recurso,SMUL,CAEPP,Em Análise
2021-01-11 20:35:40,2021-0.000.248-8,37494-20,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-12 13:45:15,2021-0.000.270-4,493-21,Certificado de Conclusão,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-12 19:12:54,2021-0.000.292-5,289-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-12 19:46:35,2021-0.000.299-2,485-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-12 20:02:46,2021-0.000.302-6,37221-20,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-12 20:39:12,2021-0.000.310-7,34426-20,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-13 11:01:46,2021-0.000.317-4,479-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-13 19:21:49,2021-0.000.334-4,28367-22,Alvará de Desmembramento de Lote,Inicial,Reconsideração,SMUL,CAEPP,Em Análise
2021-01-13 19:48:57,2021-0.000.338-7,402-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-13 19:50:15,2021-0.000.339-5,420-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-13 20:07:56,2021-0.000.344-1,538-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-13 20:46:16,2021-0.000.354-9,605-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-14 09:40:46,2021-0.000.363-8,448-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-14 10:08:19,2021-0.000.364-6,328-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-14 18:42:35,2021-0.000.383-2,37245-20,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-14 18:56:53,2021-0.000.386-7,9604-23,Alvará de Desmembramento de Lote,Inicial,Reconsideração,SMUL,CAEPP,Em Análise
2021-01-14 19:05:18,2021-0.000.389-1,32-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-14 19:55:21,2021-0.000.401-4,787-21,Alvará de Reparcelamento de Lote,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-14 20:00:13,2021-0.000.404-9,24942-23,Alvará de Aprovação de Edificação Nova,Inicial,2º Recurso,SMUL,CAEPP,Em Análise
2021-01-14 20:08:55,2021-0.000.406-5,579-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-14 20:15:44,2021-0.000.407-3,750-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-14 20:21:47,2021-0.000.408-1,789-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-15 09:56:41,2021-0.000.421-9,348-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-15 10:07:48,2021-0.000.422-7,558-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-15 10:11:47,2021-0.000.423-5,797-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-15 19:29:23,2021-0.000.448-0,840-21,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-15 19:39:37,2021-0.000.451-0,973-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-15 20:17:34,2021-0.000.460-0,754-21,Alvará de Remembramento de Lote,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-18 10:33:52,2021-0.000.478-2,560-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-18 18:36:14,2021-0.000.494-4,38584-20,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Indeferido
2021-01-18 18:36:14,2021-0.000.494-4,5189-24,Alvará de Aprovação de Edificação Nova,Inicial,1º Recurso,SMUL,CAEPP,Em Análise
2021-01-18 18:37:42,2021-0.000.495-2,715-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-18 18:57:04,2021-0.000.498-7,483-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-18 19:32:11,2021-0.000.507-0,916-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-18 20:59:05,2021-0.000.527-4,1063-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-19 10:28:50,2021-0.000.536-3,6201-23,Alvará de Execução de Demolição,Inicial,2º Recurso,SMUL,CAEPP,Em Análise
2021-01-19 11:49:47,2021-0.000.539-8,1104-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-19 13:19:40,2021-0.000.546-0,38372-20,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-19 18:26:58,2021-0.000.568-1,38462-20,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-19 18:40:40,2021-0.000.572-0,898-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-19 19:43:25,2021-0.000.590-8,1286-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-19 20:35:23,2021-0.000.603-3,1245-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-19 20:51:19,2021-0.000.604-1,1262-21,Alvará de Remembramento de Lote,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-19 20:53:40,2021-0.000.606-8,1248-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,CAEPP,Em Análise
2021-01-20 19:28:30,2021-0.000.654-8,1473-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CAEPP,Processando Despacho
2021-01-20 19:39:47,2021-0.000.656-4,698-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CAEPP,Em Análise
