dt_abertura,n_processos,n_protocolo,assunto,aditivo,tipo_requerimento,competencia,unidade,status
2021-01-06 10:25:54,2021-0.000.026-4,39411-20,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-06 11:30:40,2021-0.000.029-9,39187-20,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-06 12:36:00,2021-0.000.041-8,36366-20,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-06 13:46:47,2021-0.000.056-6,39540-20,Alvará de Aprovação de Reforma,Projeto Modificativo,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-06 15:08:52,2021-0.000.071-0,38537-20,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-06 15:25:29,2021-0.000.074-4,39552-20,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-06 16:38:09,2021-0.000.077-9,185-21,Alvará de Aprovação de Edificação Nova,Apostilamento,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-06 20:00:24,2021-0.000.098-1,38706-20,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-06 20:00:24,2021-0.000.098-1,18174-21,Alvará de Aprovação de Edificação Nova,Inicial,1º Recurso,SMUL,COMIN-GTEA,Indeferido
2021-01-06 20:16:08,2021-0.000.101-5,39374-20,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-07 18:44:43,2021-0.000.122-8,39162-20,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-11 18:08:42,2021-0.000.225-9,592-21,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-11 20:08:05,2021-0.000.243-7,39363-20,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-12 19:06:25,2021-0.000.291-7,272-21,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-13 18:41:23,2021-0.000.327-1,38779-20,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-13 19:21:49,2021-0.000.334-4,260-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-13 19:26:59,2021-0.000.335-2,298-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-13 19:55:58,2021-0.000.340-9,434-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-13 20:20:04,2021-0.000.346-8,38269-20,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-13 20:31:56,2021-0.000.350-6,38307-20,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-13 20:40:53,2021-0.000.352-2,99-21,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-13 20:55:00,2021-0.000.355-7,609-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-14 09:20:44,2021-0.000.361-1,30234-20,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-14 11:41:51,2021-0.000.365-4,566-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-14 18:56:53,2021-0.000.386-7,313-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-14 20:00:13,2021-0.000.404-9,35895-20,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-14 20:00:13,2021-0.000.404-9,20438-21,Alvará de Aprovação de Edificação Nova,Inicial,1º Recurso,SMUL,COMIN-GTEA,Indeferido
2021-01-14 20:26:45,2021-0.000.409-0,36854-20,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-14 20:36:43,2021-0.000.411-1,38362-20,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-15 20:10:44,2021-0.000.458-8,39361-20,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-18 11:04:01,2021-0.000.479-0,900-21,Certificado de Conclusão,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-18 12:22:37,2021-0.000.483-9,496-21,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-19 07:21:24,2021-0.000.528-2,811-21,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-19 10:28:50,2021-0.000.536-3,29827-21,Alvará de Execução de Demolição,Inicial,1º Recurso,SMUL,COMIN-GTEA,Indeferido
2021-01-19 10:28:50,2021-0.000.536-3,822-21,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-19 16:57:49,2021-0.000.563-0,29065-20,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-19 20:25:23,2021-0.000.599-1,417-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-20 10:03:04,2021-0.000.608-4,1289-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-20 10:48:22,2021-0.000.618-1,31700-20,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-20 10:48:22,2021-0.000.618-1,19280-21,Alvará de Execução de Demolição,Inicial,1º Recurso,SMUL,COMIN-GTEA,Indeferido
2021-01-20 11:11:09,2021-0.000.626-2,31689-20,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-20 11:11:09,2021-0.000.626-2,19279-21,Alvará de Execução de Demolição,Inicial,1º Recurso,SMUL,COMIN-GTEA,Indeferido
2021-01-21 18:51:21,2021-0.000.694-7,889-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-22 08:38:01,2021-0.000.734-0,1683-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-22 19:39:18,2021-0.000.770-6,1674-21,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-22 20:02:57,2021-0.000.781-1,1695-21,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-22 20:35:54,2021-0.000.793-5,1851-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-26 19:31:51,2021-0.000.827-3,1616-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-26 19:59:49,2021-0.000.833-8,1803-21,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-26 20:23:26,2021-0.000.838-9,1280-21,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-28 16:44:17,2021-0.000.890-7,2300-21,Certificado de Conclusão,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-28 19:08:49,2021-0.000.900-8,431-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-29 16:33:04,2021-0.000.933-4,37366-20,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-29 17:02:55,2021-0.000.935-0,1350-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-01-29 20:09:01,2021-0.000.953-9,2303-21,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-02-02 11:24:32,2021-0.000.976-8,352-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-02-02 11:45:42,2021-0.000.979-2,2327-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-02-02 17:58:51,2021-0.000.998-9,2187-21,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-02-02 19:18:05,2021-0.001.005-7,2287-21,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-02-04 08:48:22,2021-0.001.054-5,2440-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-02-04 09:46:37,2021-0.001.059-6,2355-21,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-02-04 15:59:27,2021-0.001.120-7,2368-21,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-02-04 17:12:11,2021-0.001.135-5,807-21,Certificado de Conclusão de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-02-04 19:56:31,2021-0.001.159-2,1911-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-02-04 20:17:28,2021-0.001.163-0,1190-21,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-02-04 20:26:28,2021-0.001.165-7,2100-21,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-02-05 20:17:27,2021-0.001.262-9,3205-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-02-08 19:37:23,2021-0.001.349-8,2702-21,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-02-08 19:53:06,2021-0.001.353-6,2836-21,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-02-08 20:04:35,2021-0.001.355-2,2913-21,Alvará de Execução de Demolição,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
2021-02-08 20:22:28,2021-0.001.359-5,3006-21,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN-GTEA,Indeferido
