dt_abertura,n_processos,n_protocolo,assunto,aditivo,tipo_requerimento,competencia,unidade,status
2012-10-10 16:54:55,2012-0.292.419-7,757-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN,Processo Físico
2012-10-19 12:01:25,2012-0.300.546-2,1537-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN,Processo Físico
2012-10-23 12:07:05,2012-0.303.353-9,1927-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN,Processo Físico
2012-10-23 12:07:47,2012-0.303.361-0,1379-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN,Processo Físico
2012-10-23 12:08:35,2012-0.303.364-4,326-14,Alvará de Aprovação de Edificação Nova,Inicial,Reconsideração,SMUL,COMIN,Em Análise
2012-10-24 12:03:08,2012-0.304.839-0,969-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN,Processo Físico
2012-10-26 12:04:23,2012-0.307.539-8,2109-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN,Processo Físico
2012-10-29 15:47:58,2012-0.309.320-5,1194-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN,Processo Físico
2012-10-30 12:00:53,2012-0.310.021-0,2218-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN,Processo Físico
2012-10-30 12:04:45,2012-0.310.057-0,2326-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN,Processo Físico
2012-11-05 11:37:28,2012-0.314.205-2,1366-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN,Indeferido
2012-11-06 12:06:50,2012-0.316.076-0,2575-12,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,COMIN,Indeferido
2012-11-22 17:58:51,2012-0.327.727-6,1673-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,COMIN,Indeferido
2012-11-22 18:30:36,2012-0.327.961-9,2859-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,COMIN,Indeferido
2012-11-23 12:01:38,2012-0.328.463-9,4011-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,COMIN,Processo Físico
