dt_abertura,n_processos,n_protocolo,assunto,aditivo,tipo_requerimento,competencia,unidade,status
2013-01-31 13:42:16,2013-0.029.964-5,1582-13,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,CONTRU-G,Indeferido
2013-01-31 14:39:38,2013-0.030.158-5,1584-13,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,CONTRU-G,Indeferido
2013-05-16 14:14:41,2013-0.141.216-0,9133-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CONTRU-G,Indeferido
2013-06-20 12:19:40,2013-0.174.568-1,9777-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CONTRU-G,Processo Físico
2013-09-28 12:04:40,2013-0.286.505-2,19615-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CONTRU-G,Em Análise
2013-12-06 10:02:53,2013-0.360.000-1,26002-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CONTRU-G,Em Análise
2014-03-17 07:19:59,2014-0.073.663-0,24998-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CONTRU-G,Em Análise
2014-03-25 10:25:53,2014-0.082.877-1,4805-14,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CONTRU-G,Em Análise
2014-09-09 12:02:26,2014-0.253.468-6,24886-14,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CONTRU-G,Em Análise
2014-09-18 12:46:51,2014-0.264.261-6,26256-14,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,CONTRU-G,Indeferido
2014-10-13 12:04:37,2014-0.288.712-0,29062-14,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CONTRU-G,Processo Físico
2014-10-20 13:11:42,2014-0.295.138-4,29568-14,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CONTRU-G,Indeferido
2014-11-25 18:04:06,2014-0.331.357-8,33665-14,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,CONTRU-G,Em Análise
2014-12-08 18:08:46,2014-0.344.107-0,35246-14,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CONTRU-G,Em Análise
2015-03-11 18:04:28,2015-0.063.872-9,8147-15,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CONTRU-G,Em Análise
2015-03-28 11:53:09,2015-0.080.778-4,10093-15,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CONTRU-G,Indeferido
2015-03-28 11:53:09,2015-0.080.778-4,41326-16,Alvará de Execução de Edificação Nova,Inicial,Reconsideração,SMUL,CONTRU-G,Em Análise
2015-04-29 18:07:35,2015-0.110.519-8,12320-15,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,CONTRU-G,Em Análise
2015-08-20 19:22:43,2015-0.220.305-3,28476-15,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,CONTRU-G,Em Análise
