dt_abertura,n_processos,n_protocolo,assunto,aditivo,tipo_requerimento,competencia,unidade,status
2012-11-05 11:15:27,2012-0.314.084-0,2466-12,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,GAB,Indeferido
2013-04-03 18:27:06,2013-0.095.329-9,3620-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,GAB,Processo Físico
2014-02-14 08:19:26,2014-0.045.213-5,2175-14,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,GAB,Indeferido
2014-05-08 12:06:41,2014-0.128.681-6,11527-14,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,GAB,Indeferido
2014-06-09 12:18:05,2014-0.160.825-2,14987-14,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,GAB,Indeferido
2014-07-09 12:04:06,2014-0.186.251-5,13945-14,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,GAB,Indeferido
2014-07-25 12:12:42,2014-0.203.834-4,19441-14,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,GAB,Indeferido
2014-08-05 12:38:33,2014-0.214.900-6,20747-14,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,GAB,Indeferido
2014-09-24 12:01:17,2014-0.269.948-0,26433-14,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,GAB,Indeferido
2015-03-18 18:08:53,2015-0.070.731-3,7968-15,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,GAB,Indeferido
2015-04-23 18:02:53,2015-0.104.093-2,13281-15,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,GAB,Indeferido
2015-04-30 18:43:31,2015-0.112.305-6,12674-15,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,GAB,Indeferido
2015-06-12 18:02:06,2015-0.153.641-5,19553-15,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,GAB,Indeferido
