dt_abertura,n_processos,n_protocolo,assunto,aditivo,tipo_requerimento,competencia,unidade,status
2012-10-23 12:07:40,2012-0.303.359-8,777-12,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2012-11-22 18:11:32,2012-0.327.823-0,3407-12,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2012-12-05 12:02:27,2012-0.339.612-7,4007-12,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2012-12-05 12:02:50,2012-0.339.616-0,4123-12,Alvará de Remembramento de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2012-12-07 12:10:32,2012-0.342.434-1,5045-12,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2012-12-13 12:07:11,2012-0.347.761-5,5204-12,Alvará de Remembramento e Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Indeferido
2012-12-26 10:43:22,2012-0.356.760-6,6451-12,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2013-01-16 15:43:05,2013-0.014.342-4,6928-12,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2013-01-17 12:03:55,2013-0.015.120-6,421-13,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2013-02-07 12:05:51,2013-0.038.615-7,1767-13,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2013-02-23 12:05:43,2013-0.053.053-3,2471-13,Alvará de Remembramento e Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Processo Físico
2013-03-13 12:07:10,2013-0.072.175-4,3842-13,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2013-04-05 12:01:41,2013-0.097.527-6,4023-13,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2013-04-12 12:05:54,2013-0.105.075-6,6858-13,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2013-05-11 12:07:11,2013-0.135.785-1,8940-13,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2013-05-17 12:17:19,2013-0.142.303-0,8805-13,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2013-08-16 12:04:40,2013-0.233.503-7,16123-13,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2013-09-10 12:11:09,2013-0.261.626-5,7714-14,Alvará de Desdobro de Lote,Inicial,Reconsideração,SMUL,PARHIS-3,Processo Físico
2014-03-22 12:03:15,2014-0.080.776-6,6436-14,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2014-04-15 12:07:46,2014-0.108.014-2,9071-14,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2014-05-22 12:13:42,2014-0.143.411-4,13319-14,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2014-10-09 12:06:47,2014-0.286.060-5,28824-14,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2014-12-04 18:09:46,2014-0.341.380-7,32995-14,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2015-01-06 18:03:50,2015-0.002.924-2,38197-14,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2015-03-04 18:07:15,2015-0.056.384-2,7407-15,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2015-03-12 18:05:34,2015-0.065.355-8,8010-15,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-3,Indeferido
2015-06-24 18:05:01,2015-0.165.540-6,20505-15,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,PARHIS-3,Processo Físico
2016-02-19 07:04:14,2016-0.039.972-6,3529-16,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2016-02-19 07:04:53,2016-0.039.977-7,3634-16,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-3,Em Análise
2017-05-24 19:36:40,2017-0.085.636-3,13747-20,Alvará de Desmembramento de Lote,Inicial,1º Recurso,SMUL,PARHIS-3,Em Análise
