dt_abertura,n_processos,n_protocolo,assunto,aditivo,tipo_requerimento,competencia,unidade,status
2021-01-22 19:47:53,2021-0.000.775-7,1688-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2021-02-23 23:54:44,2021-0.002.179-2,9166-23,Alvará de Desmembramento de Lote,Inicial,Reconsideração,SMUL,PARHIS-DPS,Em Análise
2021-03-18 19:36:51,2021-0.003.076-7,8684-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2021-03-22 13:29:40,2021-0.003.110-0,21155-22,Alvará de Desmembramento de Lote,Inicial,Reconsideração,SMUL,PARHIS-DPS,Em Análise
2021-03-25 10:56:49,2021-0.003.191-7,7548-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2021-04-16 19:00:57,2021-0.003.737-0,8941-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2021-04-27 10:51:57,2021-0.003.904-7,12188-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2021-04-29 20:58:20,2021-0.003.995-0,12992-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2021-05-05 21:08:00,2021-0.004.182-3,13329-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2021-05-06 19:36:49,2021-0.004.213-7,7257-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2021-05-14 00:00:00,2021-0.004.354-0,14313-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2021-05-18 20:20:49,2021-0.004.513-6,14947-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2021-05-18 20:27:43,2021-0.004.514-4,14952-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2021-05-28 11:45:26,2021-0.004.681-7,15857-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2021-05-31 19:20:42,2021-0.004.776-7,16353-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2021-06-03 18:29:28,2021-0.004.872-0,26373-22,Alvará de Desmembramento de Lote,Inicial,Reconsideração,SMUL,PARHIS-DPS,Em Análise
2021-06-24 18:24:19,2021-0.005.424-0,18157-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Processando Comunique-se
2021-06-28 21:48:37,2021-0.005.522-0,19530-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2021-08-05 19:46:20,2021-0.006.545-5,23859-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2021-09-09 18:47:29,2021-0.007.589-2,28404-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2021-09-16 19:03:20,2021-0.007.887-5,22880-22,Alvará de Desmembramento de Lote,Inicial,Reconsideração,SMUL,PARHIS-DPS,Em Análise
2021-09-21 18:49:11,2021-0.008.150-7,23096-22,Alvará de Desmembramento de Lote,Inicial,Reconsideração,SMUL,PARHIS-DPS,Em Análise
2021-09-23 18:41:06,2021-0.008.237-6,29963-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2021-09-28 19:20:51,2021-0.008.436-0,30556-21,Alvará de Desmembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2021-09-29 19:08:31,2021-0.008.494-8,30264-21,Alvará de Remembramento de Lote,Inicial,Inicial,SMUL,PARHIS-DPS,Em Análise
2023-05-03 10:51:19,2023-0.003.479-0,11598-23,Alvará de Desdobro de Lote,Apostilamento,Reconsideração,SMUL,PARHIS-DPS,Em Análise
