dt_abertura,n_processos,n_protocolo,assunto,aditivo,tipo_requerimento,competencia,unidade,status
2012-10-23 16:12:31,2012-0.304.155-8,1155-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2012-10-23 16:13:36,2012-0.304.159-0,2006-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2012-10-23 16:14:16,2012-0.304.163-9,2013-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2012-10-24 16:12:03,2012-0.305.552-4,620-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2012-10-29 15:46:52,2012-0.309.313-2,1861-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2012-11-05 12:08:31,2012-0.314.326-1,2565-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2012-11-05 12:23:38,2012-0.314.371-7,2588-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2012-11-05 18:14:08,2012-0.315.378-0,2949-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2012-11-07 12:14:55,2012-0.317.428-0,2633-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2012-11-08 17:01:11,2012-0.319.518-0,2254-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2012-11-08 18:34:50,2012-0.319.659-4,3373-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2012-11-22 17:27:08,2012-0.327.602-4,3931-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2012-11-22 17:59:56,2012-0.327.734-9,2837-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2012-11-22 18:39:52,2012-0.328.005-6,2678-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2012-11-30 16:41:40,2012-0.336.174-9,3930-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2012-12-04 17:04:02,2012-0.338.921-0,4554-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2012-12-04 17:12:45,2012-0.338.933-3,3841-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2012-12-05 12:01:17,2012-0.339.597-0,4329-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2012-12-05 16:10:13,2012-0.340.254-2,4478-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
