dt_abertura,n_processos,n_protocolo,assunto,aditivo,tipo_requerimento,competencia,unidade,status
2012-10-10 16:40:29,2012-0.292.377-8,275-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-10-17 10:08:35,2012-0.297.052-0,836-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-10-17 10:08:35,2012-0.297.053-9,278-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,RESID,Indeferido
2012-10-17 10:09:00,2012-0.297.054-7,674-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-10-17 10:16:58,2012-0.297.093-8,635-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-10-17 10:22:34,2012-0.297.118-7,347-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-10-17 12:29:18,2012-0.297.508-5,1156-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-10-18 12:00:46,2012-0.299.000-9,822-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-10-23 12:06:50,2012-0.303.350-4,1691-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-10-23 12:10:14,2012-0.303.369-5,1420-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-10-24 10:42:08,2012-0.304.606-1,187-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-10-24 12:02:51,2012-0.304.837-4,2005-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-10-25 12:03:18,2012-0.306.166-4,1228-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-10-25 12:03:56,2012-0.306.169-9,2161-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-10-25 12:05:10,2012-0.306.175-3,1839-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-10-26 12:00:54,2012-0.307.515-0,1892-12,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,RESID,Indeferido
2012-10-26 12:03:07,2012-0.307.528-2,2153-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-10-26 12:20:38,2012-0.307.571-1,1574-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-10-29 15:45:41,2012-0.309.307-8,1067-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-10-30 09:53:04,2012-0.309.668-9,2019-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-05 11:28:22,2012-0.314.165-0,1819-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-05 11:35:55,2012-0.314.196-0,1071-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-05 11:37:05,2012-0.314.200-1,1604-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-05 12:32:41,2012-0.314.398-9,1715-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-05 14:30:14,2012-0.314.698-8,2339-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,RESID,Indeferido
2012-11-05 14:33:32,2012-0.314.712-7,2194-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-11-05 16:41:39,2012-0.315.248-1,2398-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-11-05 16:41:54,2012-0.315.251-1,2616-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-05 16:57:50,2012-0.315.290-2,2489-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,RESID,Indeferido
2012-11-05 16:58:53,2012-0.315.293-7,2215-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-07 12:13:20,2012-0.317.420-5,2434-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-07 12:13:45,2012-0.317.423-0,2966-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-07 12:14:02,2012-0.317.425-6,2975-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-07 12:16:03,2012-0.317.434-5,2872-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-07 12:20:09,2012-0.317.451-5,2671-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-22 17:43:47,2012-0.327.618-0,3336-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-22 17:46:05,2012-0.327.632-6,2563-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-22 17:59:56,2012-0.327.735-7,2890-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-22 18:06:14,2012-0.327.785-3,3100-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-11-22 18:10:07,2012-0.327.812-4,3054-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-11-22 18:10:57,2012-0.327.819-1,2953-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-22 18:12:55,2012-0.327.833-7,3738-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-11-22 18:16:09,2012-0.327.858-2,1183-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,RESID,Indeferido
2012-11-22 18:17:14,2012-0.327.867-1,1744-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-22 18:22:17,2012-0.327.910-4,3173-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-22 18:31:21,2012-0.327.966-0,3066-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-22 18:39:04,2012-0.328.002-1,2724-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-22 18:40:05,2012-0.328.006-4,3101-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-11-22 18:41:55,2012-0.328.019-6,3700-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-11-22 18:42:17,2012-0.328.020-0,2698-12,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,RESID,Indeferido
2012-11-23 12:00:41,2012-0.328.449-3,3044-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
2012-11-23 12:02:13,2012-0.328.471-0,3437-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,RESID,Processo Físico
