dt_abertura,n_processos,n_protocolo,assunto,aditivo,tipo_requerimento,competencia,unidade,status
2012-10-17 10:35:54,2012-0.297.168-3,901-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2012-10-23 12:06:34,2012-0.303.346-6,1775-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2012-10-26 12:00:49,2012-0.307.514-2,2071-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2012-10-29 11:55:12,2012-0.308.718-3,1373-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2012-10-29 11:58:36,2012-0.308.722-1,1586-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2012-10-29 12:07:03,2012-0.308.742-6,1914-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2012-10-30 12:02:43,2012-0.310.041-4,2410-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2012-11-05 16:59:09,2012-0.315.295-3,1980-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2012-11-08 12:31:58,2012-0.318.795-1,1780-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2012-11-22 18:29:50,2012-0.327.956-2,1482-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2012-11-22 18:35:10,2012-0.327.994-5,3403-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2012-11-22 18:41:03,2012-0.328.012-9,3289-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2012-11-23 12:00:45,2012-0.328.451-5,2195-12,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
