veiculo;orgao;unidade;serie;processo;documento;data
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2021/0015175-3;79159907;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0002289-2;79097065;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003318-5;79117382;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003276-6;79107248;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003286-3;79123378;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0001559-4;79170689;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0000588-0;79094883;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003289-8;79111358;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003297-9;79117064;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003316-9;79116594;01/03/2023
A - Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2021/0011149-2;79122059;01/03/2023
