processo;despacho;contagem_dispatched;contagem_dom
1020.2023/0007094-3;Despacho deferido;4;correto
1020.2022/0020300-3;Despacho deferido;4;correto
1020.2022/0020297-0;Despacho deferido;4;correto
1020.2023/0007666-6;Despacho deferido;3;correto
1020.2023/0007651-8;Despacho deferido;3;correto
1020.2022/0020307-0;Despacho deferido;3;correto
1020.2022/0020826-9;Despacho deferido;3;correto
1020.2022/0016144-0;Despacho deferido;3;4
1020.2021/0001261-3;Despacho deferido;3;correto
1020.2022/0020259-7;Despacho deferido;3;correto
1020.2023/0007185-0;Despacho deferido;3;correto
1020.2022/0014308-6;Despacho deferido;3;correto
1020.2022/0004887-3;Despacho deferido;3;correto
1020.2021/0005368-9;Despacho deferido;3;correto
1020.2021/0000693-1;Despacho deferido;3;2
1020.2022/0020457-3;Despacho deferido;3;correto
1020.2021/0003926-0;Despacho deferido;3;correto
1020.2021/0018962-9;Despacho deferido;3;6
1020.2022/0017701-0;Despacho deferido;3;correto
1020.2021/0001810-7;Despacho deferido;3;5
1020.2023/0007787-5;Despacho deferido;3;correto
1020.2021/0001528-0;Despacho deferido;3;correto
1010.2020/0006790-0;Despacho deferido;3;correto
1020.2021/0005470-7;Despacho deferido;3;correto
1020.2022/0020252-0;Despacho deferido;3;correto
1020.2020/0014327-9;Despacho deferido;3;correto
1020.2023/0005726-2;Despacho deferido;3;correto
1020.2021/0010412-7;Despacho deferido;2;correto
1020.2022/0015286-7;Despacho deferido;2;correto
1020.2022/0001202-0;Despacho deferido;2;correto
1020.2021/0010447-0;Despacho deferido;2;correto
1020.2022/0007400-9;Despacho deferido;2;correto
1020.2022/0023386-7;Despacho deferido;2;correto
1020.2021/0008154-2;Despacho deferido;2;correto
1020.2023/0007430-2;Despacho deferido;2;correto
1020.2022/0023357-3;Despacho deferido;2;correto
1020.2021/0008163-1;Despacho deferido;2;correto
1020.2021/0010511-5;Despacho deferido;2;correto
1020.2021/0011405-0;Despacho deferido;2;correto
1020.2021/0003652-0;Despacho deferido;2;correto
1020.2023/0007785-9;Despacho deferido;2;correto
1020.2023/0007782-4;Despacho deferido;2;correto
1020.2021/0008436-3;Despacho deferido;2;correto
1020.2021/0010255-8;Despacho deferido;2;correto
1020.2021/0006478-8;Despacho deferido;2;correto
1020.2020/0015217-0;Despacho deferido;2;1
1020.2021/0018085-0;Despacho deferido;2;correto
1020.2021/0004820-0;Despacho deferido;2;correto
1020.2023/0007792-1;Despacho deferido;2;correto
1020.2023/0007791-3;Despacho deferido;2;correto
1020.2023/0007790-5;Despacho deferido;2;correto
1020.2020/0015403-3;Despacho deferido;2;correto
1020.2023/0007788-3;Despacho deferido;2;correto
1020.2020/0015742-3;Despacho deferido;2;correto
1020.2023/0007642-9;Despacho deferido;2;correto
1020.2021/0015825-1;Despacho deferido;2;correto
1020.2022/0002272-6;Despacho deferido;2;correto
1020.2022/0013215-7;Despacho deferido;2;correto
1020.2021/0003808-6;Despacho deferido;2;correto
1020.2023/0010541-0;Despacho deferido;2;inexistente
1020.2023/0014777-6;Despacho deferido;2;5
1020.2020/0015821-7;Despacho deferido;2;correto
1020.2020/0015824-1;Despacho deferido;2;1
1020.2021/0006709-4;Despacho deferido;2;correto
1020.2021/0015641-0;Despacho deferido;2;correto
1020.2022/0012930-0;Despacho deferido;2;24
1020.2021/0008408-8;Despacho deferido;2;correto
1020.2021/0015845-6;Despacho deferido;2;correto
1020.2022/0010667-9;Despacho deferido;2;correto
1020.2023/0007654-2;Despacho deferido;2;correto
1020.2023/0007653-4;Despacho deferido;2;correto
1020.2022/0016128-9;Despacho deferido;2;correto
1020.2022/0014738-3;Despacho deferido;2;correto
1020.2023/0001446-6;Despacho deferido;2;correto
1020.2021/0019073-2;Despacho deferido;2;correto
1020.2023/0012552-7;Despacho deferido;2;correto
1020.2023/0012550-0;Despacho deferido;2;correto
1020.2023/0011409-6;Despacho deferido;2;correto
1020.2021/0014136-7;Despacho deferido;2;correto
1020.2021/0007657-3;Despacho deferido;2;correto
1020.2023/0012673-6;Despacho deferido;2;correto
1020.2021/0010755-0;Despacho deferido;2;correto
1020.2023/0011296-4;Despacho deferido;2;correto
1020.2021/0018957-2;Despacho deferido;2;correto
1020.2021/0000935-3;Despacho deferido;2;correto
1020.2021/0014135-9;Despacho deferido;2;correto
1020.2021/0019323-5;Despacho deferido;2;correto
1020.2023/0001110-6;Despacho deferido;2;1
1020.2021/0007225-0;Despacho deferido;2;correto
1020.2021/0011067-4;Despacho deferido;2;correto
1020.2021/0007549-6;Despacho deferido;2;correto
1020.2022/0017697-9;Despacho deferido;2;correto
1020.2021/0013988-5;Despacho deferido;2;correto
1020.2022/0013646-2;Despacho deferido;2;correto
1020.2021/0002150-7;Despacho deferido;2;correto
1020.2022/0017696-0;Despacho deferido;2;correto
1020.2022/0001217-8;Despacho deferido;2;correto
1020.2021/0003091-3;Despacho deferido;2;correto
1020.2023/0010824-0;Despacho deferido;2;inexistente
1020.2021/0000474-2;Despacho deferido;2;correto
1020.2021/0018782-0;Despacho deferido;2;correto
1020.2022/0018653-2;Despacho deferido;2;correto
1020.2022/0001967-9;Despacho deferido;2;correto
1020.2023/0005708-4;Despacho deferido;2;correto
1020.2023/0005713-0;Despacho deferido;2;correto
1020.2021/0003106-5;Despacho deferido;2;correto
1020.2023/0013759-2;Despacho deferido;2;correto
1020.2021/0019674-9;Despacho deferido;2;correto
1020.2022/0019312-1;Despacho deferido;2;correto
1020.2021/0000475-0;Despacho deferido;2;correto
1020.2023/0007099-4;Despacho deferido;2;correto
1020.2022/0014109-1;Despacho deferido;2;correto
1020.2023/0006127-8;Despacho deferido;2;correto
1020.2022/0009451-4;Despacho deferido;2;correto
1020.2023/0007088-9;Despacho deferido;2;correto
1020.2021/0018918-1;Despacho deferido;2;correto
1020.2023/0006154-5;Despacho deferido;2;correto
1020.2023/0000827-0;Despacho deferido;2;correto
1020.2021/0000813-6;Despacho deferido;2;correto
1020.2021/0007784-7;Despacho deferido;2;correto
1020.2021/0000699-0;Despacho deferido;2;correto
1020.2021/0000509-9;Despacho deferido;2;correto
1020.2023/0007166-4;Despacho deferido;2;correto
1020.2022/0005986-7;Despacho deferido;2;correto
1020.2021/0007904-1;Despacho deferido;2;correto
1020.2023/0007132-0;Despacho deferido;2;correto
1020.2023/0011057-0;Despacho deferido;2;correto
1020.2022/0000429-9;Despacho deferido;2;correto
1020.2022/0020274-0;Despacho deferido;2;correto
1020.2022/0020270-8;Despacho deferido;2;correto
1020.2022/0020266-0;Despacho deferido;2;3
1020.2022/0020244-9;Despacho deferido;2;correto
1020.2022/0016625-6;Despacho deferido;2;correto
1020.2021/0011830-6;Despacho deferido;2;correto
1020.2020/0014307-4;Despacho deferido;2;correto
1020.2022/0016644-2;Despacho deferido;2;1
1020.2021/0009587-0;Despacho deferido;2;correto
1020.2020/0014284-1;Despacho deferido;2;correto
1020.2022/0020278-3;Despacho deferido;2;correto
1020.2022/0020306-2;Despacho deferido;2;correto
1020.2022/0020293-7;Despacho deferido;2;correto
1020.2022/0020291-0;Despacho deferido;2;correto
1020.2022/0020285-6;Despacho deferido;2;correto
1020.2020/0014344-9;Despacho deferido;2;correto
1020.2022/0011297-0;Despacho deferido;2;correto
1020.2022/0012279-8;Despacho deferido;2;correto
1020.2021/0005374-3;Despacho deferido;2;correto
1020.2021/0006301-3;Despacho deferido;2;correto
1020.2021/0005464-2;Despacho deferido;2;correto
1020.2020/0014346-5;Despacho deferido;2;correto
1020.2021/0006220-3;Despacho deferido;2;correto
1020.2020/0014426-7;Despacho deferido;2;correto
1020.2023/0017695-4;Despacho deferido;2;inexistente
1020.2022/0020142-6;Despacho deferido;2;correto
1020.2023/0017692-0;Despacho deferido;2;inexistente
1020.2023/0009275-0;Despacho deferido;2;correto
1020.2023/0017684-9;Despacho deferido;2;inexistente
1020.2023/0009280-7;Despacho deferido;2;correto
1020.2022/0011310-1;Despacho deferido;2;correto
1020.2020/0014543-3;Despacho deferido;2;correto
1020.2021/0009244-7;Despacho deferido;2;correto
1020.2022/0020484-0;Despacho deferido;2;correto
1010.2020/0008298-4;Despacho deferido;2;correto
1020.2021/0012029-7;Despacho deferido;2;correto
1020.2022/0024146-0;Despacho deferido;2;correto
1010.2020/0007987-8;Despacho deferido;2;correto
1020.2023/0003655-9;Despacho deferido;2;inexistente
1020.2021/0017228-9;Despacho deferido;2;correto
1020.2023/0019945-8;Despacho deferido;2;inexistente
1020.2023/0003743-1;Despacho deferido;2;inexistente
1010.2020/0007924-0;Despacho deferido;2;correto
1020.2021/0009255-2;Despacho deferido;2;correto
1020.2022/0002972-0;Despacho deferido;2;correto
1020.2022/0008172-2;Despacho deferido;2;1
1020.2021/0006060-0;Despacho deferido;2;inexistente
1020.2021/0011878-0;Despacho deferido;2;5
1020.2022/0012073-6;Despacho deferido;2;correto
1020.2022/0016708-2;Despacho deferido;2;correto
1020.2022/0020824-2;Despacho deferido;2;correto
1020.2021/0009149-1;Despacho deferido;2;5
1020.2022/0016706-6;Despacho deferido;2;correto
1020.2022/0020823-4;Despacho deferido;2;correto
1020.2022/0020825-0;Despacho deferido;2;correto
1020.2022/0020453-0;Despacho deferido;2;correto
1020.2022/0020834-0;Despacho deferido;2;correto
1020.2022/0020455-7;Despacho deferido;2;correto
1020.2021/0009902-6;Despacho deferido;2;correto
1020.2023/0000176-3;Despacho deferido;2;correto
1020.2023/0016194-9;Despacho deferido;2;inexistente
1020.2023/0002882-3;Despacho deferido;2;correto
1020.2022/0019933-2;Despacho deferido;2;correto
1020.2023/0016790-4;Despacho deferido;2;correto
1020.2022/0011114-1;Despacho deferido;2;correto
1020.2022/0018358-4;Despacho deferido;2;correto
1020.2022/0004304-9;Despacho deferido;2;correto
1020.2022/0004258-1;Despacho deferido;2;correto
1020.2022/0017781-9;Despacho deferido;1;correto
1020.2022/0017948-0;Despacho deferido;1;correto
1020.2022/0018104-2;Despacho deferido;1;correto
1020.2022/0017724-0;Despacho deferido;1;correto
1020.2022/0017721-5;Despacho deferido;1;correto
1020.2022/0017949-8;Despacho deferido;1;correto
1020.2022/0017958-7;Despacho deferido;1;correto
1020.2022/0017722-3;Despacho deferido;1;correto
1020.2022/0017783-5;Despacho deferido;1;correto
1020.2022/0017957-9;Despacho deferido;1;correto
