processo;despacho;contagem_dispatched;contagem_timeline
1020.2023/0007094-3;Despacho deferido;4;1
1020.2022/0020300-3;Despacho deferido;4;1
1020.2022/0020297-0;Despacho deferido;4;1
1020.2023/0007666-6;Despacho deferido;3;1
1020.2023/0007651-8;Despacho deferido;3;1
1020.2022/0020307-0;Despacho deferido;3;1
1020.2022/0020826-9;Despacho deferido;3;1
1020.2022/0016144-0;Despacho deferido;3;1
1020.2022/0020259-7;Despacho deferido;3;1
1020.2023/0007185-0;Despacho deferido;3;1
1020.2022/0014308-6;Despacho deferido;3;2
1020.2021/0000693-1;Despacho deferido;3;1
1020.2022/0020457-3;Despacho deferido;3;1
1020.2021/0018962-9;Despacho deferido;3;1
1020.2022/0017701-0;Despacho deferido;3;2
1020.2021/0001810-7;Despacho deferido;3;1
1020.2023/0007787-5;Despacho deferido;3;1
1020.2021/0001528-0;Despacho deferido;3;1
1010.2020/0006790-0;Despacho deferido;3;2
1020.2022/0020252-0;Despacho deferido;3;1
1020.2023/0005726-2;Despacho deferido;3;1
1020.2021/0010412-7;Despacho deferido;2;1
1020.2023/0007430-2;Despacho deferido;2;1
1020.2022/0023357-3;Despacho deferido;2;1
1020.2023/0007785-9;Despacho deferido;2;1
1020.2023/0007782-4;Despacho deferido;2;1
1020.2021/0010255-8;Despacho deferido;2;1
1020.2021/0018085-0;Despacho deferido;2;1
1020.2023/0007792-1;Despacho deferido;2;1
1020.2023/0007791-3;Despacho deferido;2;1
1020.2023/0007790-5;Despacho deferido;2;1
1020.2023/0007788-3;Despacho deferido;2;1
1020.2023/0007642-9;Despacho deferido;2;1
1020.2023/0010541-0;Despacho deferido;2;1
1020.2021/0006709-4;Despacho deferido;2;1
1020.2022/0012930-0;Despacho deferido;2;1
1020.2023/0007654-2;Despacho deferido;2;1
1020.2023/0007653-4;Despacho deferido;2;1
1020.2022/0016128-9;Despacho deferido;2;1
1020.2023/0001446-6;Despacho deferido;2;1
1020.2023/0012552-7;Despacho deferido;2;1
1020.2023/0012550-0;Despacho deferido;2;1
1020.2021/0007657-3;Despacho deferido;2;1
1020.2023/0011296-4;Despacho deferido;2;1
1020.2023/0001110-6;Despacho deferido;2;1
1020.2022/0017697-9;Despacho deferido;2;1
1020.2022/0017696-0;Despacho deferido;2;1
1020.2023/0010824-0;Despacho deferido;2;1
1020.2023/0005708-4;Despacho deferido;2;1
1020.2023/0005713-0;Despacho deferido;2;1
1020.2021/0003106-5;Despacho deferido;2;1
1020.2022/0019312-1;Despacho deferido;2;1
1020.2023/0007099-4;Despacho deferido;2;1
1020.2023/0006127-8;Despacho deferido;2;1
1020.2023/0007088-9;Despacho deferido;2;1
1020.2023/0006154-5;Despacho deferido;2;1
1020.2023/0000827-0;Despacho deferido;2;1
1020.2023/0007166-4;Despacho deferido;2;1
1020.2023/0007132-0;Despacho deferido;2;1
1020.2023/0011057-0;Despacho deferido;2;1
1020.2022/0020274-0;Despacho deferido;2;1
1020.2022/0020270-8;Despacho deferido;2;1
1020.2022/0020266-0;Despacho deferido;2;1
1020.2022/0020244-9;Despacho deferido;2;1
1020.2022/0016625-6;Despacho deferido;2;1
1020.2022/0020278-3;Despacho deferido;2;1
1020.2022/0020306-2;Despacho deferido;2;1
1020.2022/0020293-7;Despacho deferido;2;1
1020.2022/0020291-0;Despacho deferido;2;1
1020.2022/0020285-6;Despacho deferido;2;1
1020.2022/0012279-8;Despacho deferido;2;1
1020.2021/0005374-3;Despacho deferido;2;1
1020.2021/0006301-3;Despacho deferido;2;inexistente
1020.2021/0005464-2;Despacho deferido;2;1
1020.2020/0014426-7;Despacho deferido;2;3
1020.2023/0017695-4;Despacho deferido;2;1
1020.2023/0017692-0;Despacho deferido;2;1
1020.2023/0017684-9;Despacho deferido;2;1
1020.2020/0014543-3;Despacho deferido;2;1
1010.2020/0007987-8;Despacho deferido;2;1
1020.2023/0003655-9;Despacho deferido;2;1
1020.2023/0019945-8;Despacho deferido;2;1
1020.2023/0003743-1;Despacho deferido;2;1
1020.2021/0006060-0;Despacho deferido;2;1
1020.2021/0011878-0;Despacho deferido;2;1
1020.2022/0016708-2;Despacho deferido;2;1
1020.2022/0020824-2;Despacho deferido;2;1
1020.2021/0009149-1;Despacho deferido;2;1
1020.2022/0016706-6;Despacho deferido;2;1
1020.2022/0020823-4;Despacho deferido;2;1
1020.2022/0020825-0;Despacho deferido;2;1
1020.2022/0020453-0;Despacho deferido;2;1
1020.2022/0020834-0;Despacho deferido;2;1
1020.2022/0020455-7;Despacho deferido;2;1
1020.2023/0002882-3;Despacho deferido;2;1
1020.2023/0016790-4;Despacho deferido;2;1
1020.2022/0011114-1;Despacho deferido;2;1
1020.2022/0018358-4;Despacho deferido;2;1
1020.2022/0017692-8;Despacho deferido;1;2
1020.2022/0019329-6;Despacho deferido;1;2
1020.2022/0020477-8;Despacho deferido;1;2
1020.2022/0019931-6;Despacho deferido;1;2
1020.2022/0019887-5;Despacho deferido;1;2
1020.2022/0020131-0;Despacho deferido;1;2
1020.2022/0014219-5;Despacho deferido;1;2
1020.2022/0016150-5;Despacho deferido;1;2
1020.2022/0016798-8;Despacho deferido;1;2
1020.2022/0015181-0;Despacho deferido;1;2
