processo;despacho;contagem_dom;contagem_dispatched
1020.2022/0022993-2;deferido;36;1
1020.2022/0012930-0;deferido;24;2
1020.2022/0009042-0;deferido;10;1
1020.2021/0005918-0;deferido;7;1
1020.2020/0015162-0;deferido;6;1
1020.2021/0018962-9;deferido;6;3
1020.2023/0004409-8;deferido;5;1
1020.2021/0009149-1;deferido;5;2
1020.2021/0001810-7;deferido;5;3
1020.2023/0014777-6;deferido;5;2
1020.2021/0011878-0;deferido;5;2
1020.2023/0007094-3;deferido;4;correto
1020.2022/0016144-0;deferido;4;3
1020.2022/0020297-0;deferido;4;correto
1020.2022/0020300-3;deferido;4;correto
1020.2023/0014463-7;deferido;3;1
1020.2020/0014327-9;deferido;3;correto
1020.2023/0017145-6;deferido;3;1
1020.2022/0020457-3;deferido;3;correto
1020.2023/0006453-6;deferido;3;1
1020.2022/0013661-6;deferido;3;1
1020.2021/0003926-0;deferido;3;correto
1020.2023/0017969-4;deferido;3;1
1020.2022/0017701-0;deferido;3;correto
1020.2022/0014308-6;deferido;3;correto
1020.2021/0005368-9;deferido;3;correto
1020.2023/0007185-0;deferido;3;correto
1020.2021/0011068-2;deferido;3;1
1020.2022/0004887-3;deferido;3;correto
1020.2023/0012873-9;deferido;3;1
1020.2021/0015011-0;deferido;3;1
1020.2021/0014773-0;deferido;3;1
1020.2023/0012450-4;deferido;3;1
1020.2022/0020826-9;deferido;3;correto
1020.2023/0004673-2;deferido;3;1
1020.2021/0001261-3;deferido;3;correto
1020.2023/0004672-4;deferido;3;1
1020.2022/0020307-0;deferido;3;correto
1020.2021/0001528-0;deferido;3;correto
1020.2023/0005726-2;deferido;3;correto
1020.2023/0020060-0;deferido;3;1
1010.2020/0006790-0;deferido;3;correto
1020.2023/0019843-5;deferido;3;1
1020.2022/0020252-0;deferido;3;correto
1020.2023/0020033-2;deferido;3;1
1020.2023/0019172-4;deferido;3;1
1020.2023/0007787-5;deferido;3;correto
1020.2022/0014565-8;deferido;3;1
1020.2022/0020266-0;deferido;3;2
1020.2023/0007666-6;deferido;3;correto
1020.2021/0016959-8;deferido;3;1
1020.2021/0005470-7;deferido;3;correto
1020.2022/0020259-7;deferido;3;correto
1020.2023/0020048-0;deferido;3;1
1020.2023/0018712-3;deferido;3;1
1020.2023/0007651-8;deferido;3;correto
1020.2021/0000786-5;deferido;2;1
1020.2022/0013215-7;deferido;2;correto
1020.2021/0000813-6;deferido;2;correto
1020.2021/0018782-0;deferido;2;correto
1020.2021/0007904-1;deferido;2;correto
1020.2023/0012673-6;deferido;2;correto
1020.2021/0000509-9;deferido;2;correto
1020.2023/0012552-7;deferido;2;correto
1020.2023/0012550-0;deferido;2;correto
1020.2021/0000693-1;deferido;2;3
1020.2021/0000699-0;deferido;2;correto
1020.2023/0000827-0;deferido;2;correto
1020.2023/0007642-9;deferido;2;correto
1020.2021/0000935-3;deferido;2;correto
1020.2021/0018957-2;deferido;2;correto
1020.2021/0014135-9;deferido;2;correto
1020.2021/0007657-3;deferido;2;correto
1020.2021/0013988-5;deferido;2;correto
1020.2022/0005986-7;deferido;2;correto
1020.2023/0011409-6;deferido;2;correto
1020.2022/0018653-2;deferido;2;correto
1020.2022/0000347-0;deferido;2;1
1020.2021/0006220-3;deferido;2;correto
1020.2021/0014136-7;deferido;2;correto
1020.2021/0007784-7;deferido;2;correto
1020.2021/0007777-4;deferido;2;1
1020.2021/0010755-0;deferido;2;correto
1020.2021/0012029-7;deferido;2;correto
1020.2021/0007742-1;deferido;2;1
