processo;despacho;contagem_timeline;contagem_dispatched
1020.2021/0016233-0;Processo Deferido;4;1
1020.2020/0014426-7;Processo Deferido;3;2
1020.2023/0005169-8;Processo Deferido;2;1
1020.2023/0014337-1;Processo Deferido;2;1
1020.2021/0010727-4;Processo Deferido;2;1
1020.2022/0019931-6;Processo Deferido;2;1
1020.2022/0000347-0;Processo Deferido;2;1
1020.2021/0011682-6;Processo Deferido;2;1
1020.2022/0019887-5;Processo Deferido;2;1
1020.2021/0011874-8;Processo Deferido;2;1
1020.2021/0007777-4;Processo Deferido;2;1
1020.2022/0014308-6;Processo Deferido;2;3
1020.2023/0011982-9;Processo Deferido;2;1
1020.2023/0011578-5;Processo Deferido;2;1
1020.2021/0019712-5;Processo Deferido;2;1
1020.2023/0001488-1;Processo Deferido;2;1
1020.2022/0014219-5;Processo Deferido;2;1
1020.2022/0016150-5;Processo Deferido;2;1
1020.2023/0006221-5;Processo Deferido;2;1
1020.2023/0007343-8;Processo Deferido;2;1
1020.2023/0001003-7;Processo Deferido;2;1
1020.2022/0017692-8;Processo Deferido;2;1
1020.2022/0017701-0;Processo Deferido;2;3
1020.2022/0019329-6;Processo Deferido;2;1
1020.2022/0001599-1;Processo Deferido;2;1
1020.2022/0016798-8;Processo Deferido;2;1
1020.2021/0017759-0;Processo Deferido;2;1
1020.2021/0012711-9;Processo Deferido;2;1
1020.2023/0018721-2;Processo Deferido;2;1
1020.2022/0003244-6;Processo Deferido;2;1
1020.2022/0008425-0;Processo Deferido;2;1
1020.2023/0003510-2;Processo Deferido;2;1
1020.2022/0020477-8;Processo Deferido;2;1
1020.2022/0015181-0;Processo Deferido;2;1
1020.2022/0020131-0;Processo Deferido;2;1
1020.2023/0008083-3;Processo Deferido;2;1
1020.2023/0008085-0;Processo Deferido;2;1
1020.2020/0015490-4;Processo Deferido;2;1
1010.2020/0006790-0;Processo Deferido;2;3
1020.2022/0021641-5;Processo Deferido;2;1
1020.2023/0016214-7;Processo Deferido;2;1
1020.2023/0019541-0;Processo Deferido;2;1
1020.2023/0004641-4;Processo Deferido;2;1
1020.2022/0008523-0;Processo Deferido;2;1
1020.2023/0000334-0;Processo Deferido;2;1
1020.2022/0000578-3;Processo Deferido;2;1
1020.2023/0016781-5;Processo Deferido;2;1
1020.2023/0016791-2;Processo Deferido;2;1
1020.2022/0017696-0;Processo Deferido;1;2
1020.2022/0017697-9;Processo Deferido;1;2
1020.2022/0020026-8;Processo Deferido;1;inexistente
1020.2022/0020597-9;Processo Deferido;1;inexistente
1020.2022/0020823-4;Processo Deferido;1;2
1020.2022/0020824-2;Processo Deferido;1;2
1020.2022/0020825-0;Processo Deferido;1;2
1020.2022/0020826-9;Processo Deferido;1;3
1020.2022/0020834-0;Processo Deferido;1;2
1020.2022/0020244-9;Processo Deferido;1;2
1020.2022/0020252-0;Processo Deferido;1;3
1020.2022/0020259-7;Processo Deferido;1;3
1020.2022/0020266-0;Processo Deferido;1;2
1020.2022/0020270-8;Processo Deferido;1;2
1020.2022/0020274-0;Processo Deferido;1;2
1020.2022/0020278-3;Processo Deferido;1;2
1020.2022/0020285-6;Processo Deferido;1;2
1020.2022/0020291-0;Processo Deferido;1;2
1020.2022/0020293-7;Processo Deferido;1;2
1020.2022/0020297-0;Processo Deferido;1;4
1020.2022/0020306-2;Processo Deferido;1;2
1020.2022/0020300-3;Processo Deferido;1;4
1020.2022/0020307-0;Processo Deferido;1;3
1020.2022/0020453-0;Processo Deferido;1;2
1020.2022/0020455-7;Processo Deferido;1;2
1020.2022/0020457-3;Processo Deferido;1;3
1020.2022/0018358-4;Processo Deferido;1;2
1020.2022/0018500-5;Processo Deferido;1;inexistente
1020.2022/0019208-7;Processo Deferido;1;inexistente
1020.2022/0019312-1;Processo Deferido;1;2
1020.2022/0012279-8;Processo Deferido;1;2
1020.2022/0012930-0;Processo Deferido;1;2
1020.2022/0016128-9;Processo Deferido;1;2
1020.2022/0016144-0;Processo Deferido;1;3
1020.2022/0016625-6;Processo Deferido;1;2
1020.2022/0016706-6;Processo Deferido;1;2
1020.2022/0016708-2;Processo Deferido;1;2
1020.2022/0015429-0;Processo Deferido;1;inexistente
1020.2023/0008729-3;Processo Deferido;1;inexistente
1020.2023/0007430-2;Processo Deferido;1;2
1020.2023/0007782-4;Processo Deferido;1;2
1020.2023/0007785-9;Processo Deferido;1;2
1020.2023/0007787-5;Processo Deferido;1;3
1020.2023/0007788-3;Processo Deferido;1;2
1020.2023/0007790-5;Processo Deferido;1;2
1020.2023/0007791-3;Processo Deferido;1;2
1020.2023/0007792-1;Processo Deferido;1;2
1020.2023/0007584-8;Processo Deferido;1;inexistente
1020.2023/0007642-9;Processo Deferido;1;2
1020.2023/0007651-8;Processo Deferido;1;3
1020.2023/0007653-4;Processo Deferido;1;2
1020.2023/0007654-2;Processo Deferido;1;2
1020.2023/0007666-6;Processo Deferido;1;3
1020.2023/0010541-0;Processo Deferido;1;2
1020.2023/0010593-3;Processo Deferido;1;inexistente
1020.2023/0009281-5;Processo Deferido;1;inexistente
1020.2023/0005713-0;Processo Deferido;1;2
1020.2023/0005726-2;Processo Deferido;1;3
1020.2023/0005708-4;Processo Deferido;1;2
1020.2023/0007166-4;Processo Deferido;1;2
1020.2023/0007132-0;Processo Deferido;1;2
1020.2023/0007185-0;Processo Deferido;1;3
1020.2023/0007099-4;Processo Deferido;1;2
1020.2023/0007094-3;Processo Deferido;1;4
1020.2023/0007088-9;Processo Deferido;1;2
1020.2023/0006127-8;Processo Deferido;1;2
1020.2023/0006154-5;Processo Deferido;1;2
1020.2023/0005850-1;Processo Deferido;1;inexistente
1020.2023/0016204-0;Processo Deferido;1;inexistente
1020.2023/0016215-5;Processo Deferido;1;inexistente
1020.2023/0015785-2;Processo Deferido;1;inexistente
1020.2023/0015950-2;Processo Deferido;1;inexistente
1020.2023/0016790-4;Processo Deferido;1;2
1020.2023/0016531-6;Processo Deferido;1;inexistente
1020.2023/0014346-0;Processo Deferido;1;inexistente
1020.2023/0014872-1;Processo Deferido;1;inexistente
1020.2023/0015484-5;Processo Deferido;1;inexistente
1020.2023/0015096-3;Processo Deferido;1;inexistente
1020.2023/0018841-3;Processo Deferido;1;inexistente
1020.2023/0018943-6;Processo Deferido;1;inexistente
1020.2023/0019032-9;Processo Deferido;1;inexistente
1020.2023/0018807-3;Processo Deferido;1;inexistente
1020.2023/0018616-0;Processo Deferido;1;inexistente
1020.2023/0018706-9;Processo Deferido;1;inexistente
1020.2023/0019090-6;Processo Deferido;1;inexistente
1020.2023/0019840-0;Processo Deferido;1;inexistente
1020.2023/0019945-8;Processo Deferido;1;2
1020.2023/0020142-8;Processo Deferido;1;inexistente
1020.2023/0020146-0;Processo Deferido;1;inexistente
1020.2023/0020147-9;Processo Deferido;1;inexistente
1020.2023/0020149-5;Processo Deferido;1;inexistente
1020.2023/0020153-3;Processo Deferido;1;inexistente
1020.2023/0020161-4;Processo Deferido;1;inexistente
1020.2023/0020165-7;Processo Deferido;1;inexistente
1020.2023/0020180-0;Processo Deferido;1;inexistente
1020.2023/0020280-7;Processo Deferido;1;inexistente
1020.2023/0020291-2;Processo Deferido;1;inexistente
1020.2023/0017618-0;Processo Deferido;1;inexistente
1020.2023/0017684-9;Processo Deferido;1;2
1020.2023/0017692-0;Processo Deferido;1;2
1020.2023/0017392-0;Processo Deferido;1;inexistente
1020.2023/0017346-7;Processo Deferido;1;inexistente
1020.2023/0017695-4;Processo Deferido;1;2
1020.2023/0011568-8;Processo Deferido;1;inexistente
1020.2023/0011296-4;Processo Deferido;1;2
1020.2023/0010713-8;Processo Deferido;1;inexistente
1020.2023/0011057-0;Processo Deferido;1;2
1020.2023/0010824-0;Processo Deferido;1;2
1020.2023/0010835-5;Processo Deferido;1;inexistente
1020.2023/0010934-3;Processo Deferido;1;inexistente
1020.2023/0012570-5;Processo Deferido;1;inexistente
1020.2023/0012670-1;Processo Deferido;1;inexistente
