n_protocolo;n_processo;data_comuniquese;coord_comuniquese;data_extracao
10500/2022;1020.2020/0004263-4;27/06/2023;GTEC;2023.08.04
11817/2020;1020.2020/0008542-2;01/06/2023;GTEC;2023.08.04
12678/2021;1020.2021/0002916-8;28/07/2023;GTEC;2023.08.04
12691/2022;1020.2022/0003759-6;07/12/2022;GTEC;2023.08.04
12691/2022;1020.2022/0003759-6;11/01/2023;GTEC;2023.08.04
12691/2022;1020.2022/0003759-6;26/05/2023;GTEC;2023.08.04
137/2023;1020.2020/0012017-1;22/06/2023;GTEC;2023.08.04
1381/2020;1020.2020/0000733-2;07/06/2023;GTEC;2023.08.04
1381/2020;1020.2020/0000733-2;19/07/2023;GTEC;2023.08.04
14239/2020;1020.2020/0005905-7;18/10/2022;GTEC;2023.08.04
14316/2021;1020.2021/0004372-1;16/06/2023;GTEC;2023.08.04
14316/2021;1020.2021/0004372-1;22/03/2023;GTEC;2023.08.04
14752/2022;1020.2022/0004272-7;31/07/2023;GTEC;2023.08.04
15255/2023;1020.2021/0017604-7;21/07/2023;GTEC;2023.08.04
15327/2023;1020.2022/0005166-1;21/06/2023;GTEC;2023.08.04
15408/2020;1020.2020/0005760-7;19/10/2022;GTEC;2023.08.04
15952/2020;1020.2020/0009248-8;22/02/2023;GTEC;2023.08.04
16165/2021;1020.2021/0005446-4;03/07/2023;GTEC;2023.08.04
16198/2022;1020.2022/0006304-0;22/11/2022;GTEC;2023.08.04
1662/2022;1020.2020/0000455-4;24/01/2023;GTEC;2023.08.04
1809/2022;1020.2020/0007251-7;13/06/2023;GTEC;2023.08.04
1809/2022;1020.2020/0007251-7;14/03/2023;GTEC;2023.08.04
1820/2022;1020.2022/0004273-5;27/02/2023;GTEC;2023.08.04
18798/2021;1020.2021/0006189-4;20/07/2023;GTEC;2023.08.04
19989/2021;1020.2021/0004729-8;03/03/2023;GTEC;2023.08.04
19989/2021;1020.2021/0004729-8;03/05/2023;GTEC;2023.08.04
19989/2021;1020.2021/0004729-8;18/01/2023;GTEC;2023.08.04
20543/2021;1020.2021/0005449-9;09/02/2023;GTEC;2023.08.04
20643/2022;1020.2022/0006302-3;09/01/2023;GTEC;2023.08.04
20643/2022;1020.2022/0006302-3;09/03/2023;GTEC;2023.08.04
20643/2022;1020.2022/0006302-3;22/11/2022;GTEC;2023.08.04
20676/2022;1020.2021/0012646-5;14/07/2023;GTEC;2023.08.04
20676/2022;1020.2021/0012646-5;29/05/2023;GTEC;2023.08.04
21133/2023;1020.2021/0015689-5;19/06/2023;GTEC;2023.08.04
2132/2020;1020.2020/0000697-2;29/06/2023;GTEC;2023.08.04
21345/2022;1020.2020/0005908-1;28/04/2023;GTEC;2023.08.04
21943/2020;1020.2020/0012482-7;24/11/2022;GTEC;2023.08.04
23771/2021;1020.2021/0006353-6;17/04/2023;GTEC;2023.08.04
24087/2022;1020.2022/0008240-0;03/02/2023;GTEC;2023.08.04
24087/2022;1020.2022/0008240-0;06/04/2023;GTEC;2023.08.04
24087/2022;1020.2022/0008240-0;22/05/2023;GTEC;2023.08.04
25557/2020;1020.2020/0016046-7;14/04/2023;GTEC;2023.08.04
25557/2020;1020.2020/0016046-7;17/01/2023;GTEC;2023.08.04
257/2022;1020.2022/0001904-0;17/05/2023;GTEC;2023.08.04
