n_protocolo;n_processo;despacho;data_despacho;coord_despacho;data_extracao
1007/2021;1020.2020/0000125-3;Despacho de Indeferimento Comum;03/05/2021;GTEC;2023.08.04
10096/2023;1020.2022/0004097-0;Despacho de Deferimento Comum;07/06/2023;GTEC;2023.08.04
10118/2021;1020.2021/0002133-7;Despacho de Indeferimento Comum;12/03/2021;GTEC;2023.08.04
10390/2021;1020.2021/0002132-9;Despacho de Indeferimento Comum;12/03/2021;GTEC;2023.08.04
10410/2021;1020.2021/0001961-8;Despacho de Indeferimento Comum;24/06/2021;GTEC;2023.08.04
1044/2022;1020.2021/0009438-5;Despacho de Deferimento Comum;06/06/2022;GTEC;2023.08.04
10650/2021;1020.2020/0001343-0;Despacho de Indeferimento Comum;10/02/2022;GTEC;2023.08.04
10845/2022;1020.2020/0015718-0;Despacho de Deferimento Comum;07/06/2023;GTEC;2023.08.04
11017/2022;1020.2020/0011846-0;Despacho de Deferimento Comum;30/05/2022;GTEC;2023.08.04
1120/2022;1020.2020/0014468-2;Despacho de Deferimento Comum;29/03/2022;GTEC;2023.08.04
11242/2022;1020.2022/0003078-8;Despacho de Indeferimento Comum;30/03/2022;GTEC;2023.08.04
11274/2021;1020.2020/0000680-8;Despacho de Deferimento Comum;06/06/2022;GTEC;2023.08.04
11667/2021;1020.2021/0002218-0;Despacho de Indeferimento Comum;27/12/2021;GTEC;2023.08.04
11954/2021;1020.2021/0002681-9;Despacho de Deferimento Comum;24/03/2021;GTEC;2023.08.04
12511/2021;1020.2020/0005351-2;Despacho de Deferimento Comum;23/03/2021;GTEC;2023.08.04
12565/2022;1020.2021/0008917-9;Despacho de Deferimento Comum;23/03/2022;GTEC;2023.08.04
12985/2022;1020.2021/0002991-5;Despacho de Deferimento Comum;05/07/2022;GTEC;2023.08.04
13024/2021;1020.2020/0014150-0;Despacho de Deferimento Comum;05/08/2021;GTEC;2023.08.04
13430/2022;1020.2020/0002329-0;Despacho de Deferimento Comum;08/06/2022;GTEC;2023.08.04
13475/2021;1020.2020/0000937-8;Despacho de Indeferimento Comum;13/08/2021;GTEC;2023.08.04
13657/2021;1020.2020/0001216-6;Despacho de Indeferimento Comum;29/06/2021;GTEC;2023.08.04
13673/2022;1020.2020/0001057-0;Despacho de Deferimento Comum;09/07/2022;GTEC;2023.08.04
13767/2021;1020.2020/0000119-9;Despacho de Deferimento Comum;18/01/2022;GTEC;2023.08.04
14646/2021;1020.2020/0001136-4;Despacho de Indeferimento Comum;13/01/2022;GTEC;2023.08.04
14757/2021;1020.2020/0000383-3;Despacho de Deferimento Comum;14/02/2022;GTEC;2023.08.04
15073/2021;1020.2020/0011154-7;Despacho de Indeferimento Comum;28/10/2021;GTEC;2023.08.04
