n_processo;assunto;deferido;data_despacho;coord_despacho;situacao;n_protocolo;data_extracao
2015-0.100.964-4;Alvará de Licença para Residências Unifamiliares;Não;07/05/2015 00:00;GTEL;Indeferido;13453-15;2023.08.04
2015-0.100.970-9;Alvará de Licença para Residências Unifamiliares;Não;08/06/2015 00:00;GTEL;Indeferido;13418-15;2023.08.04
2015-0.100.980-6;Alvará de Licença para Residências Unifamiliares;Não;09/05/2015 00:00;GTEL;Indeferido;13587-15;2023.08.04
2015-0.104.143-2;Alvará de Licença para Residências Unifamiliares;Não;09/05/2015 00:00;GTEL;Indeferido;13805-15;2023.08.04
2015-0.105.691-0;Alvará de Licença para Residências Unifamiliares;Não;12/05/2015 00:00;GTEL;Indeferido;14168-15;2023.08.04
2015-0.107.161-7;Alvará de Licença para Residências Unifamiliares;Não;12/05/2015 00:00;GTEL;Indeferido;14231-15;2023.08.04
2015-0.112.925-9;Alvará de Licença para Residências Unifamiliares;Não;12/05/2015 00:00;GTEL;Indeferido;14503-15;2023.08.04
2015-0.112.933-0;Alvará de Licença para Residências Unifamiliares;Não;12/05/2015 00:00;GTEL;Indeferido;14520-15;2023.08.04
2015-0.115.647-7;Alvará de Licença para Residências Unifamiliares;Não;12/05/2015 00:00;GTEL;Indeferido;15098-15;2023.08.04
2015-0.105.685-5;Alvará de Licença para Residências Unifamiliares;Não;12/05/2015 00:00;GTEL;Indeferido;14099-15;2023.08.04
2015-0.115.634-5;Alvará de Licença para Residências Unifamiliares;Não;12/05/2015 00:00;GTEL;Indeferido;15257-15;2023.08.04
2015-0.105.686-3;Alvará de Licença para Residências Unifamiliares;Não;13/05/2015 00:00;GTEL;Indeferido;14175-15;2023.08.04
2015-0.105.669-3;Alvará de Licença para Residências Unifamiliares;Não;21/05/2015 00:00;GTEL;Indeferido;13338-15;2023.08.04
2015-0.122.637-8;Alvará de Licença para Residências Unifamiliares;Não;21/05/2015 00:00;GTEL;Indeferido;15690-15;2023.08.04
2015-0.122.655-6;Alvará de Licença para Residências Unifamiliares;Não;21/05/2015 00:00;GTEL;Indeferido;16018-15;2023.08.04
2015-0.122.574-6;Alvará de Licença para Residências Unifamiliares;Não;21/05/2015 00:00;GTEL;Indeferido;16164-15;2023.08.04
2015-0.124.657-3;Alvará de Licença para Residências Unifamiliares;Não;21/05/2015 00:00;GTEL;Indeferido;16101-15;2023.08.04
2015-0.126.149-1;Alvará de Licença para Residências Unifamiliares;Não;21/05/2015 00:00;GTEL;Indeferido;16432-15;2023.08.04
2015-0.126.162-9;Alvará de Licença para Residências Unifamiliares;Não;21/05/2015 00:00;GTEL;Indeferido;15591-15;2023.08.04
2015-0.122.969-5;Alvará de Licença para Residências Unifamiliares;Não;23/05/2015 00:00;GTEL;Indeferido;15611-15;2023.08.04
2015-0.185.017-9;Alvará de Licença para Residências Unifamiliares;Não;04/08/2015 00:00;GTEL;Indeferido;22679-15;2023.08.04
2015-0.169.847-4;Alvará de Licença para Residências Unifamiliares;Não;05/08/2015 00:00;GTEL;Indeferido;20617-15;2023.08.04
2015-0.175.457-9;Alvará de Licença para Residências Unifamiliares;Não;05/08/2015 00:00;GTEL;Indeferido;21847-15;2023.08.04
2015-0.162.667-8;Alvará de Licença para Residências Unifamiliares;Não;05/08/2015 00:00;GTEL;Indeferido;20056-15;2023.08.04
2015-0.133.302-6;Alvará de Licença para Residências Unifamiliares;Não;05/08/2015 00:00;GTEL;Indeferido;15143-15;2023.08.04
2015-0.145.921-6;Alvará de Licença para Residências Unifamiliares;Não;06/08/2015 00:00;GTEL;Indeferido;18883-15;2023.08.04
