sistema,processo,protocolo,codigoAssuntoObra,situacaoComuniqueSe,unidade,codigoComuniquese,dtEmissaoComuniquese,dtPublicacaoComuniquese,dt_inclusao,responsavel
AprovaDigital,1010.2020/0006241-0,1-20-SP-SAO,5f4d82d97e92e0000840e44b,NULL,,NULL,2020-12-18,2020-12-18,2023-09-05 19:09:00,NULL
AprovaDigital,1010.2020/0006241-0,1-20-SP-SAO,5f4d82d97e92e0000840e44b,NULL,SMUL/SERVIN/DSIGP,NULL,2021-10-26,2021-10-26,2023-09-05 19:09:00,NULL
AprovaDigital,1010.2020/0006241-0,1-20-SP-SAO,5f4d82d97e92e0000840e44b,NULL,SMUL/SERVIN/DSIGP,NULL,2022-12-07,2022-12-07,2023-09-05 19:09:00,NULL
AprovaDigital,1010.2020/0006558-3,8-20-SP-SAO,5f5fbc6a160066000813eb46,NULL,SMUL/PARHIS/DHIS,NULL,2021-12-17,2021-12-17,2023-09-05 19:09:00,NULL
AprovaDigital,1010.2020/0006787-0,7-20-SP-SAO,5f5fb39c6277940008ad1998,NULL,SMUL/RESID/DRGP,NULL,2021-02-16,2021-02-16,2023-09-05 19:09:00,NULL
AprovaDigital,1010.2020/0006787-0,7-20-SP-SAO,5f5fb39c6277940008ad1998,NULL,SMUL/RESID/DRGP,NULL,2021-04-09,2021-04-09,2023-09-05 19:09:00,NULL
AprovaDigital,1010.2020/0006787-0,7-20-SP-SAO,5f5fb39c6277940008ad1998,NULL,SMUL/RESID/DRGP,NULL,2021-04-15,2021-04-15,2023-09-05 19:09:00,NULL
AprovaDigital,1010.2020/0006790-0,16-20-SP-SAO,5f68cbf42669220008a441fe,NULL,SMUL/RESID/DRPM,NULL,2021-02-24,2021-02-24,2023-09-05 19:09:00,NULL
AprovaDigital,1010.2020/0006791-8,14-20-SP-NEW,5f64d5fa7cf2e50008cf9c54,NULL,SMUL/CONTRU/DINS,NULL,2021-07-14,2021-07-14,2023-09-05 19:09:00,NULL
AprovaDigital,1010.2020/0006853-1,19-20-SP-SAO,5f6a577549e7510008cebe20,NULL,SMUL/PARHIS/DHIS,NULL,2021-11-03,2021-11-03,2023-09-05 19:09:00,NULL
AprovaDigital,1010.2020/0006853-1,19-20-SP-SAO,5f6a577549e7510008cebe20,NULL,SMUL/PARHIS/DHIS,NULL,2022-01-18,2022-01-18,2023-09-05 19:09:00,NULL
AprovaDigital,1010.2020/0006853-1,19-20-SP-SAO,5f6a577549e7510008cebe20,NULL,SMUL/PARHIS/DHIS,NULL,2023-01-30,2023-01-30,2023-09-05 19:09:00,NULL
AprovaDigital,1010.2020/0007035-8,18-20-SP-SAO,5f6a3ecda391710008539ea0,NULL,SMUL/RESID/DRPM,NULL,2021-06-15,2021-06-15,2023-09-05 19:09:00,NULL
