sistema,processo,protocolo,codigoAssuntoObra,situacaoDespacho,unidade,dtEmissaoDespacho,dtPublicacaoDespacho,dt_inclusao
AprovaDigital,1020.2020/0014346-5,369-20-SP-SAO,5fb4203af51cef0009d8443e,NULL,SMUL/PARHIS/DHIS,2021-02-08,2021-02-08,2023-08-31 14:46:00
AprovaDigital,1020.2020/0014346-5,369-20-SP-SAO,5fb4203af51cef0009d8443e,NULL,SMUL/PARHIS/DHIS,2021-10-13,2021-10-13,2023-08-31 14:46:00
AprovaDigital,1020.2020/0014585-9,370-20-SP-SAO,5fb42592b40384000776db75,NULL,SMUL/COMIN/DCIMP,2021-09-03,2021-09-03,2023-08-31 14:46:00
AprovaDigital,1020.2020/0014699-5,371-20-SP-NEW,5fb4366a832f4300089124b5,NULL,SMUL/CONTRU/DACESS,2022-05-14,2022-05-14,2023-08-31 14:46:00
AprovaDigital,1020.2020/0014580-8,372-20-SP-NEW,5fb4376e832f4300089124b8,NULL,SMUL/CONTRU/DINS,2021-04-15,2021-04-15,2023-08-31 14:46:00
AprovaDigital,1020.2020/0014580-8,372-20-SP-NEW,5fb4376e832f4300089124b8,NULL,SMUL/CONTRU/DINS,2022-05-18,2022-05-18,2023-08-31 14:46:00
AprovaDigital,1020.2020/0014417-8,373-20-SP-SAO,5fb44ba5961c3e0008ef4096,NULL,SMUL/PARHIS/DHMP,2021-06-03,2021-06-03,2023-08-31 14:46:00
AprovaDigital,1020.2020/0014593-0,377-20-SP-SAO,5fb5331f8339160008828b00,NULL,SMUL/COMIN/DCIGP,2021-08-18,2021-08-18,2023-08-31 14:46:00
AprovaDigital,1020.2020/0014556-5,381-20-SP-SAO,5fb53b50247b8e0008431a0b,NULL,SMUL/RESID/DRPM,2021-11-04,2021-11-04,2023-08-31 14:46:00
AprovaDigital,1020.2020/0014422-4,383-20-SP-SAO,5fb544955f44f400082b5a6b,NULL,SMUL/PARHIS/DHIS,2022-12-22,2022-12-22,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015148-4,385-20-SP-SAO,5fb571b6504e2600083d8ae6,NULL,SMUL/COMIN/DCIMP,2023-05-10,2023-05-10,2023-08-31 14:46:00
AprovaDigital,1020.2020/0014479-8,387-20-SP-SAO,5fb579d0c8adac000847e077,NULL,SMUL/PARHIS/DHMP,2021-01-04,2021-01-04,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003520-0,25824-23-SP-CCE,63fcb30dd583440008057ce7,NULL,SMUL/RESID/DRPM,2023-06-28,2023-06-28,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003521-8,25830-23-SP-CCE,63fcc25ea0ec590009d0b114,NULL,SMUL/RESID/DRU,2023-06-26,2023-06-26,2023-08-31 14:46:00
AprovaDigital,1020.2023/0006121-9,25829-23-SP-CER,63fcc25e2231c10008dc63b8,NULL,SMUL/CONTRU/DSUS,2023-08-10,2023-08-10,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003440-8,25835-23-SP-ALV,63fccb920bc2ce00089d5bb4,NULL,SMUL/PARHIS/DHIS,2023-07-21,2023-07-21,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003440-8,25835-23-SP-ALV,63fccb920bc2ce00089d5bb4,NULL,SMUL/PARHIS/DHIS,2023-07-21,2023-07-21,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003225-1,25839-23-SP-APO,63fccf56233b1200089e1a7d,NULL,SMUL/PARHIS/DHMP,2023-04-26,2023-04-26,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003525-0,25840-23-SP-ALV,63fcd2650da7210008e1310a,NULL,SMUL/RESID/DRGP,2023-07-11,2023-07-11,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003527-7,25842-23-SP-ALV,63fcd743fc976a00089daaf5,NULL,SMUL/RESID/DRGP,2023-07-11,2023-07-11,2023-08-31 14:46:00
