sistema,processo,protocolo,ano,dtAberturaProcesso,situacao,codigoProcesso,digitoProcesso,dt_inclusao
AprovaDigital,,24152-22-SP-REF,2022,2022-12-26,em análise,,NULL,2023-08-31 14:44:00
AprovaDigital,,24156-22-SP-CER,2022,2022-12-26,desistido,,NULL,2023-08-31 14:44:00
AprovaDigital,,24162-22-SP-REF,2022,2022-12-26,em análise,,NULL,2023-08-31 14:44:00
AprovaDigital,,24165-22-SP-ALV,2022,2022-12-26,desistido,,NULL,2023-08-31 14:44:00
AprovaDigital,,24172-22-SP-CER,2022,2022-12-27,desistido,,NULL,2023-08-31 14:44:00
AprovaDigital,,24184-22-SP-ALV,2022,2022-12-27,desistido,,NULL,2023-08-31 14:44:00
AprovaDigital,,24191-22-SP-ALV,2022,2022-12-27,em análise,,NULL,2023-08-31 14:44:00
AprovaDigital,,24199-22-SP-ALV,2022,2022-12-28,em análise,,NULL,2023-08-31 14:44:00
AprovaDigital,,24205-22-SP-REF,2022,2022-12-28,desistido,,NULL,2023-08-31 14:44:00
AprovaDigital,,24206-22-SP-REF,2022,2022-12-28,desistido,,NULL,2023-08-31 14:44:00
AprovaDigital,,24220-22-SP-ALV,2022,2022-12-29,em análise,,NULL,2023-08-31 14:44:00
AprovaDigital,,24221-22-SP-TAX,2022,2022-12-29,desistido,,NULL,2023-08-31 14:44:00
AprovaDigital,,2423-21-SP-TAX,2021,2021-04-16,desistido,,NULL,2023-08-31 14:44:00
AprovaDigital,,24239-22-SP-CER,2022,2022-12-30,desistido,,NULL,2023-08-31 14:44:00
AprovaDigital,,24247-22-SP-TAX,2022,2022-12-30,em análise,,NULL,2023-08-31 14:44:00
AprovaDigital,,24249-22-SP-CER,2022,2022-12-30,desistido,,NULL,2023-08-31 14:44:00
AprovaDigital,,24250-22-SP-ALV,2022,2022-12-30,desistido,,NULL,2023-08-31 14:44:00
AprovaDigital,,24252-23-SP-DLR,2023,2023-01-04,em análise,,NULL,2023-08-31 14:44:00
AprovaDigital,,24257-23-SP-DLR,2023,2023-01-04,em análise,,NULL,2023-08-31 14:44:00
AprovaDigital,,24258-23-SP-DLR,2023,2023-01-04,em análise,,NULL,2023-08-31 14:44:00
AprovaDigital,,24260-23-SP-CER,2023,2023-01-04,desistido,,NULL,2023-08-31 14:44:00
AprovaDigital,,24262-23-SP-REF,2023,2023-01-04,desistido,,NULL,2023-08-31 14:44:00
