processo,sql_incra
1020.2020/0008169-9,06010500303
1020.2020/0000682-4,30706800890
1020.2020/0004885-3,08549801186
1020.2021/0004378-0,03108200615
1020.2021/0012633-3,18301301537
1020.2020/0012080-5,06305300798
1020.2023/0014646-0,07732000064
1020.2023/0015043-2,11616001312
1020.2023/0015211-7,08942000118
1020.2021/0014001-8,11608800090
1020.2020/0005492-6,13035100275
1020.2020/0007636-9,10733000109
1020.2021/0008099-6,11129000442
1020.2023/0015506-0,01003004202
1020.2021/0011534-0,02110403578
1020.2020/0001326-0,13603700243
1020.2020/0013475-0,30600300274
1020.2020/0013480-6,07833800376
1020.2023/0015512-4,07327202821
1020.2021/0001121-8,06915300511
1020.2020/0004070-4,04622900645
1020.2020/0002041-0,10909400643
1020.2020/0009219-4,16510300426
1020.2021/0005954-7,07221400679
1020.2020/0006323-2,17209600093
1020.2021/0003551-6,08117000059
1020.2021/0009847-0,05513700956
1020.2020/0002416-4,07534300061
1020.2020/0012142-9,14026002021
1020.2020/0004152-2,04404600135
1020.2020/0013644-2,15518700112
1020.2020/0007364-5,08625900801
1020.2023/0009541-5,12206704306
1020.2020/0006032-2,06420200751
1020.2021/0006631-4,03210500411
1020.2021/0009743-0,11715100841
1020.2023/0015929-4,05924200337
1020.2020/0007343-2,10404500519
1020.2023/0012149-1,06612800151
1020.2020/0012423-1,06102200500
1020.2020/0013856-9,06802400677
1020.2023/0015188-9,08115600490
1020.2020/0009192-9,19300200096
1020.2021/0002809-9,16905800375
1020.2020/0013844-5,02707300160
1020.2021/0008993-4,30815200177
1020.2020/0006264-3,11313000646
1020.2020/0002109-2,19302300251
1020.2020/0002479-2,05909400568
1020.2023/0012990-5,00908905521
1020.2020/0013047-9,05706400180
1020.2021/0007108-3,11835701018
1020.2020/0011423-6,07835500361
1020.2020/0005938-3,03304602631
1020.2021/0002643-6,06750300154
1020.2020/0001307-3,11634101048
1020.2023/0016447-6,13700200284
1020.2021/0002031-4,11419100105
1020.2023/0012757-0,08512900180
1020.2020/0015071-2,05821900166
1020.2020/0001227-1,10815000201
1020.2021/0008984-5,06749800351
1020.2021/0005713-7,05224500850
1020.2020/0004603-6,00907406106
1020.2020/0001970-5,07827600174
1020.2021/0009388-5,10411100547
1020.2023/0016599-5,01102600423
1020.2021/0008843-1,10607000952
1020.2021/0005571-1,09131300081
1020.2021/0006455-9,05414000107
1020.2020/0008192-3,10722100530
1020.2021/0000625-7,06843500293
1020.2020/0011107-5,02403700924
1020.2020/0012768-0,03913900721
1020.2020/0012816-4,12119400058
1020.2021/0009537-3,15203000467
1020.2020/0007662-8,16714100026
1020.2021/0001710-0,13305500440
1020.2020/0002820-8,05521000313
1020.2020/0007628-8,13415800351
1020.2020/0014403-8,18904300524
1020.2020/0011996-3,13103600622
1020.2021/0005342-5,07006501441
1020.2020/0004603-6,00907405797
1020.2021/0007883-5,05129700961
1020.2022/0024408-7,02206003538
1020.2021/0013690-8,21000300062
1020.2020/0015679-6,11250300362
1020.2020/0001888-1,15510800231
1020.2023/0012390-7,16920300620
1020.2023/0015333-4,08511600086
1020.2021/0006315-3,12322100217
1020.2021/0016704-8,03908400023
1020.2020/0004826-8,11404700251
1020.2021/0012154-4,30201500318
1020.2021/0015969-0,16713100091
1020.2021/0014807-8,15605003584
1020.2020/0002514-4,02506600523
1020.2021/0011770-9,11837201985
1020.2021/0013743-2,30411800407
1020.2021/0014356-4,10618900445
