sql;n_processo;n_protocolo;assunto;situacao;competencia;unidade_administrativa;sq
035.030.0011-9;2013-0.046.916-8;5169-12;Alvará de Aprovação de Edificação Nova;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.030
035.030.0011-9;2013-0.046.916-8;5169-12;Alvará de Aprovação de Edificação Nova;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.030
035.065.0041-4;2012-0.327.703-9;3117-12;Alvará de Licença para Residências Unifamiliares;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.065
035.065.0041-4;2012-0.327.703-9;3117-12;Alvará de Licença para Residências Unifamiliares;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.065
035.029.0024-8;2013-0.330.648-0;23775-13;Alvará de Licença para Residências Unifamiliares;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.029
035.029.0024-8;2013-0.330.648-0;23775-13;Alvará de Licença para Residências Unifamiliares;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.029
035.029.0051-5;2013-0.133.534-3;8317-13;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.029
035.029.0051-5;2013-0.133.534-3;8317-13;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.029
035.030.0011-9;2013-0.053.067-3;3208-13;Alvará de Execução de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.030
035.030.0011-9;2013-0.053.067-3;3208-13;Alvará de Execução de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.030
035.030.0011-9;2013-0.053.067-3;3208-13;Alvará de Execução de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.030
035.044.0032-3;2013-0.375.781-4;26038-13;Alvará de Desdobro de Lote;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.044
035.044.0032-3;2013-0.336.376-0;24270-13;Alvará de Aprovação de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.044
035.044.0032-3;2013-0.343.123-4;25132-13;Alvará de Execução de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.044
035.044.0032-3;2013-0.097.645-0;6262-13;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.044
035.044.0032-3;2013-0.336.376-0;24270-13;Alvará de Aprovação de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.044
035.044.0032-3;2013-0.343.123-4;25132-13;Alvará de Execução de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.044
035.044.0032-3;2013-0.097.645-0;6262-13;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.044
035.044.0032-3;2013-0.375.781-4;26038-13;Alvará de Desdobro de Lote;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.044
035.046.0039-1;2013-0.310.018-1;16464-13;Alvará de Execução de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0039-1;2013-0.310.018-1;16464-13;Alvará de Execução de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0039-1;2013-0.038.553-3;1665-13;Alvará de Aprovação de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
