n_processo;data_autuacao;assunto;coord_atual;status;data_extracao
1010.2020/0005874-9;;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;desistido;2024.03.04
1010.2020/0006241-0;;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);SERVIN;deferido;2024.03.04
1010.2020/0006754-3;;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1010.2020/0006559-1;;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0006787-0;;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1010.2020/0006558-3;;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0007422-1;09/10/2020 12:35:15;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1010.2020/0007052-8;01/10/2020 17:24:26;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;CONTRU;deferido;2024.03.04
1010.2020/0006801-9;;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;desistido;2024.03.04
1010.2020/0007034-0;01/10/2020 13:33:43;Cadastro de Sistema Especial de Segurança;CONTRU;deferido;2024.03.04
1010.2020/0007418-3;09/10/2020 12:23:22;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;CONTRU;indeferido e encerrado;2024.03.04
1010.2020/0006791-8;;Certificado de Estanqueidade;CONTRU;em análise;2024.03.04
1010.2020/0006790-0;;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1010.2020/0007192-3;06/10/2020 16:29:58;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);CAEPP;em análise;2024.03.04
1010.2020/0007035-8;01/10/2020 13:37:09;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;em análise;2024.03.04
1010.2020/0006853-1;28/09/2020 14:17:47;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0007926-6;23/10/2020 11:15:09;Certificado de Acessibilidade;CONTRU;indeferido e encerrado;2024.03.04
1010.2020/0007037-4;01/10/2020 13:57:55;Alvará de Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0007036-6;01/10/2020 13:39:12;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);COMIN;desistido;2024.03.04
1010.2020/0007370-5;08/10/2020 13:27:45;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0007464-7;13/10/2020 12:01:12;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);RESID;indeferido;2024.03.04
1010.2020/0007462-0;13/10/2020 11:18:45;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0007706-9;19/10/2020 11:53:38;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0007985-1;26/10/2020 09:50:44;Alvará de Execução de Edificação Nova (HIS/ HMP);RESID;deferido;2024.03.04
1010.2020/0007369-1;08/10/2020 13:15:22;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1010.2020/0008080-9;27/10/2020 15:08:51;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1010.2020/0008691-2;11/11/2020 19:22:48;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1020.2020/0014328-7;17/11/2020 13:39:19;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;2024.03.04
1010.2020/0007927-4;23/10/2020 11:17:29;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2020/0015999-0;29/12/2020 08:37:56;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1010.2020/0008497-9;09/11/2020 17:47:28;Certificado de Segurança;CONTRU;em análise;2024.03.04
1010.2020/0007463-9;13/10/2020 11:36:45;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0007510-4;14/10/2020 10:41:12;Alvará de Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0007928-2;23/10/2020 11:19:37;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;desistido;2024.03.04
1010.2020/0007703-4;19/10/2020 10:51:53;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);COMIN;indeferido e encerrado;2024.03.04
1010.2020/0007702-6;19/10/2020 10:49:02;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);RESID;deferido;2024.03.04
1010.2020/0008660-2;11/11/2020 16:53:26;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1010.2020/0007569-4;15/10/2020 11:46:58;Certificado de Acessibilidade;CONTRU;deferido;2024.03.04
1010.2020/0007720-4;19/10/2020 12:33:01;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);SERVIN;deferido;2024.03.04
1010.2020/0008454-5;09/11/2020 12:47:37;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);SERVIN;deferido;2024.03.04
1020.2020/0015997-3;29/12/2020 08:04:17;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1010.2020/0007568-6;15/10/2020 11:44:37;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);SERVIN;deferido;2024.03.04
1010.2020/0008082-5;27/10/2020 15:11:31;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);SERVIN;deferido;2024.03.04
1010.2020/0007567-8;15/10/2020 11:42:27;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1010.2020/0007931-2;23/10/2020 11:25:31;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2020/0015996-5;29/12/2020 07:53:55;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1020.2020/0015995-7;29/12/2020 07:48:19;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1020.2020/0015993-0;29/12/2020 07:41:14;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1010.2020/0008380-8;05/11/2020 17:22:19;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0007924-0;23/10/2020 11:08:34;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);COMIN;deferido;2024.03.04
1020.2020/0016003-3;29/12/2020 11:49:42;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1010.2020/0007829-4;21/10/2020 14:29:51;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;indeferido;2024.03.04
1010.2020/0008503-7;09/11/2020 17:56:32;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);RESID;em análise;2024.03.04
1010.2020/0008690-4;11/11/2020 19:20:28;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1010.2020/0008651-3;11/11/2020 16:24:34;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1010.2020/0008669-6;11/11/2020 17:21:07;Alvará de Funcionamento de Local de Reunião;CONTRU;indeferido;2024.03.04
1020.2020/0014330-9;17/11/2020 13:41:53;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;2024.03.04
1020.2020/0014430-5;18/11/2020 17:16:36;Alvará de Funcionamento de Local de Reunião;CONTRU;em análise;2024.03.04
1010.2020/0007827-8;21/10/2020 14:27:10;Desmembramento para Secção em ZEIS;PARHIS;em análise;2024.03.04
1010.2020/0007986-0;26/10/2020 09:52:45;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0007932-0;23/10/2020 11:29:13;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1010.2020/0007930-4;23/10/2020 11:21:45;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1010.2020/0008500-2;09/11/2020 17:53:04;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);RESID;indeferido;2024.03.04
1010.2020/0008496-0;09/11/2020 17:44:57;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);RESID;deferido;2024.03.04
1010.2020/0008298-4;04/11/2020 10:53:32;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1010.2020/0007943-6;23/10/2020 15:06:47;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2020/0016005-0;29/12/2020 12:03:26;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido;2024.03.04
1010.2020/0007987-8;26/10/2020 09:54:39;Cadastro de Sistema Especial de Segurança;CONTRU;deferido;2024.03.04
1010.2020/0008303-4;04/11/2020 11:33:51;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1020.2020/0014287-6;17/11/2020 10:45:25;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1010.2020/0007992-4;26/10/2020 11:32:39;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0008247-0;03/11/2020 11:12:40;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);SERVIN;deferido;2024.03.04
1010.2020/0008070-1;27/10/2020 14:38:58;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);COMIN;deferido;2024.03.04
1020.2020/0014282-5;17/11/2020 10:03:15;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);RESID;indeferido e encerrado;2024.03.04
1010.2020/0008656-4;11/11/2020 16:39:33;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1020.2020/0014313-9;17/11/2020 13:04:17;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1010.2020/0007933-9;23/10/2020 11:31:50;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1020.2020/0015990-6;28/12/2020 18:55:27;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1010.2020/0008074-4;27/10/2020 14:48:06;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2020/0014893-9;01/12/2020 14:54:51;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1010.2020/0008250-0;03/11/2020 11:22:37;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);RESID;deferido;2024.03.04
1010.2020/0008085-0;27/10/2020 15:14:37;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1010.2020/0008190-2;29/10/2020 15:18:39;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1020.2020/0014431-3;18/11/2020 17:21:25;Alvará de Funcionamento de Local de Reunião;CONTRU;em análise;2024.03.04
1010.2020/0008546-0;10/11/2020 14:40:03;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1010.2020/0007984-3;26/10/2020 09:47:53;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;desistido;2024.03.04
1020.2020/0014301-5;17/11/2020 12:32:51;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1010.2020/0008494-4;09/11/2020 17:41:07;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2020/0014528-0;24/11/2020 14:34:46;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);COMIN;deferido;2024.03.04
1010.2020/0008116-3;28/10/2020 11:59:11;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0008072-8;27/10/2020 14:43:18;Alvará de Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0008086-8;27/10/2020 15:18:43;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0008249-6;03/11/2020 11:20:23;Cadastro de Sistema Especial de Segurança;CONTRU;deferido;2024.03.04
1010.2020/0008087-6;27/10/2020 15:23:23;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;2024.03.04
1010.2020/0008299-2;04/11/2020 10:56:04;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);SERVIN;deferido;2024.03.04
1010.2020/0008279-8;03/11/2020 16:42:16;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);COMIN;deferido;2024.03.04
1020.2020/0016000-9;29/12/2020 10:36:08;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1020.2020/0014303-1;17/11/2020 12:36:19;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0008186-4;29/10/2020 14:46:03;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);COMIN;desistido;2024.03.04
1010.2020/0008275-5;03/11/2020 16:32:53;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);COMIN;deferido;2024.03.04
