id;protocolo;n_processo;data_autuacao;assunto;ieos;data_publicacao_ieos;data_prazo_execucao_ieos;prorrogavel;data_extracao;prazo_ms;prazo_antigo_ms
5f610f9c498b2e0008de94ce;9-20-SP-NEW;1010.2020/0007422-1;09/10/2020 12:35:15;Certificado de Acessibilidade;Comunique-se padrão;09/03/2022;08/04/2022;True;2024.08.01;1649448106565.0;None
5f610f9c498b2e0008de94ce;9-20-SP-NEW;1010.2020/0007422-1;09/10/2020 12:35:15;Certificado de Acessibilidade;Comunique-se padrão;13/09/2022;13/10/2022;False;2024.08.01;1665682659580.0;None
5f610f9c498b2e0008de94ce;9-20-SP-NEW;1010.2020/0007422-1;09/10/2020 12:35:15;Certificado de Acessibilidade;Intimação IEOS;17/04/2023;14/10/2023;True;2024.08.01;1697306743089.0;None
5f610f9c498b2e0008de94ce;9-20-SP-NEW;1010.2020/0007422-1;09/10/2020 12:35:15;Certificado de Acessibilidade;Autorização de prorrogação de prazo;16/10/2023;11/04/2024;False;2024.08.01;1712858743089.0;1697306743089.0
5f8f49301104830008a74d29;100-20-SP-NEW;1020.2020/0014893-9;01/12/2020 14:54:51;Certificado de Acessibilidade;Comunique-se padrão;07/08/2021;06/09/2021;True;2024.08.01;1630951905145.0;None
5f8f49301104830008a74d29;100-20-SP-NEW;1020.2020/0014893-9;01/12/2020 14:54:51;Certificado de Acessibilidade;Comunique-se padrão;21/04/2022;21/05/2022;True;2024.08.01;1653156428455.0;None
5f8f49301104830008a74d29;100-20-SP-NEW;1020.2020/0014893-9;01/12/2020 14:54:51;Certificado de Acessibilidade;Autorização de prorrogação de prazo;18/05/2022;20/06/2022;False;2024.08.01;1655748428455.0;1653156428455.0
5f8f49301104830008a74d29;100-20-SP-NEW;1020.2020/0014893-9;01/12/2020 14:54:51;Certificado de Acessibilidade;Comunique-se padrão;09/09/2022;09/10/2022;False;2024.08.01;1665339325785.0;None
5f8f49301104830008a74d29;100-20-SP-NEW;1020.2020/0014893-9;01/12/2020 14:54:51;Certificado de Acessibilidade;Intimação IEOS;11/02/2023;10/08/2023;True;2024.08.01;1691677862320.0;None
5f8f49301104830008a74d29;100-20-SP-NEW;1020.2020/0014893-9;01/12/2020 14:54:51;Certificado de Acessibilidade;Autorização de prorrogação de prazo;16/08/2023;05/02/2024;False;2024.08.01;1707143462320.0;1691677862320.0
