id;protocolo;processo;assunto;despacho;data_publicacao;coord_despacho;documento;data_extracao
5f4d82d97e92e0000840e44b;1-20-SP-SAO;1010.2020/0006241-0;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;14/05/2023;;;2023.10.09
5f5f96a249bd25000856fde8;6-20-SP-SAO;1010.2020/0006559-1;Alvará de Aprovação de Edificação Nova (HIS/ HMP);Despacho deferido;09/07/2021;;;2023.10.09
5f5fb39c6277940008ad1998;7-20-SP-SAO;1010.2020/0006787-0;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;28/04/2021;;;2023.10.09
5f5fbc6a160066000813eb46;8-20-SP-SAO;1010.2020/0006558-3;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho deferido;09/05/2022;;;2023.10.09
5f610f9c498b2e0008de94ce;9-20-SP-NEW;1010.2020/0007422-1;Certificado de Acessibilidade;Despacho indeferido;23/03/2021;;;2023.10.09
5f62580ce018b90008a28951;10-20-SP-NEW;1010.2020/0007052-8;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;Despacho indeferido;10/05/2021;;;2023.10.09
5f62580ce018b90008a28951;10-20-SP-NEW;1010.2020/0007052-8;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;Despacho deferido;04/10/2021;;;2023.10.09
5f6267a0a109fe0008d29a95;12-20-SP-NEW;1010.2020/0007034-0;Cadastro de Sistema Especial de Segurança;Despacho deferido;22/12/2020;;;2023.10.09
5f6274b425e3390008d4b94b;13-20-SP-NEW;1010.2020/0007418-3;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;Despacho indeferido;28/01/2021;;;2023.10.09
5f6274b425e3390008d4b94b;13-20-SP-NEW;1010.2020/0007418-3;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;Despacho indeferido;08/10/2021;;;2023.10.09
5f6274b425e3390008d4b94b;13-20-SP-NEW;1010.2020/0007418-3;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;Despacho indeferido;11/07/2023;;;2023.10.09
5f68cbf42669220008a441fe;16-20-SP-SAO;1010.2020/0006790-0;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;28/06/2021;;;2023.10.09
5f68cbf42669220008a441fe;16-20-SP-SAO;1010.2020/0006790-0;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;28/06/2021;;;2023.10.09
5f68cbf42669220008a441fe;16-20-SP-SAO;1010.2020/0006790-0;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;04/08/2021;;;2023.10.09
5f6a3ecda391710008539ea0;18-20-SP-SAO;1010.2020/0007035-8;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);Despacho indeferido;06/12/2021;;;2023.10.09
5f6a3ecda391710008539ea0;18-20-SP-SAO;1010.2020/0007035-8;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);Despacho indeferido;13/06/2022;;;2023.10.09
5f6a577549e7510008cebe20;19-20-SP-SAO;1010.2020/0006853-1;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho indeferido;20/12/2022;;;2023.10.09
5f6a588e49e7510008cebe23;20-20-SP-NEW;1010.2020/0007926-6;Certificado de Acessibilidade;Despacho indeferido;25/08/2021;;;2023.10.09
5f6a588e49e7510008cebe23;20-20-SP-NEW;1010.2020/0007926-6;Certificado de Acessibilidade;Despacho indeferido;08/10/2021;;;2023.10.09
5f6a588e49e7510008cebe23;20-20-SP-NEW;1010.2020/0007926-6;Certificado de Acessibilidade;Despacho indeferido;05/08/2022;;;2023.10.09
5f6bb6bb7292770008740042;22-20-SP-SAO;1010.2020/0007037-4;Alvará de Execução de Edificação Nova (HIS/ HMP);Despacho deferido;14/12/2020;;;2023.10.09
5f7379a242d7500008dcfe74;24-20-SP-SAO;1010.2020/0007370-5;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho deferido;26/10/2021;;;2023.10.09
5f749caf5b56da0008e79cfb;25-20-SP-SAO;1010.2020/0007464-7;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);Despacho indeferido;16/04/2021;;;2023.10.09
5f75cb60073a5d0008e6fb23;27-20-SP-SAO;1010.2020/0007462-0;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho deferido;19/10/2021;;;2023.10.09
5f763a9ccc25c80008d19d22;28-20-SP-SAO;1010.2020/0007706-9;Alvará de Aprovação de Edificação Nova (HIS/ HMP);Despacho deferido;12/07/2021;;;2023.10.09
5f76564bb04d420009112534;29-20-SP-SAO;1010.2020/0007985-1;Alvará de Execução de Edificação Nova (HIS/ HMP);Despacho deferido;09/03/2021;;;2023.10.09
5f7657a5b04d420009112537;30-20-SP-SAO;1010.2020/0007369-1;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;18/11/2020;;;2023.10.09
5f7af550c5d32f0008bcb259;31-20-SP-NEW;1010.2020/0008080-9;Certificado de Acessibilidade;Despacho indeferido;19/09/2022;;;2023.10.09
5f7b4709df1212000894f5ce;34-20-SP-SAO;1020.2020/0014328-7;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho indeferido;09/06/2022;;;2023.10.09
5f7b4a5d8ce8e10008c7c89e;35-20-SP-SAO;1010.2020/0007927-4;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho indeferido;05/05/2021;;;2023.10.09
5f7b4a5d8ce8e10008c7c89e;35-20-SP-SAO;1010.2020/0007927-4;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho deferido;10/06/2022;;;2023.10.09
5f7b72f3e034a0000895763d;36-20-SP-NEW;1020.2020/0015999-0;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;29/06/2022;;;2023.10.09
5f7b90fb8489f50008c684e8;37-20-SP-NEW;1010.2020/0008497-9;Certificado de Segurança;Despacho deferido;18/12/2020;;;2023.10.09
5f7c537deea913000815e246;39-20-SP-SAO;1010.2020/0007463-9;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho deferido;13/10/2021;;;2023.10.09
5f7c8bbf8371ee00087bab5d;40-20-SP-SAO;1010.2020/0007510-4;Alvará de Execução de Edificação Nova (HIS/ HMP);Despacho deferido;16/02/2021;;;2023.10.09
5f7df6031d03b700089e4cb9;42-20-SP-SAO;1010.2020/0007703-4;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);Despacho indeferido;17/11/2020;;;2023.10.09
