id;protocolo;n_processo;assunto;processo_vinculado
60f16bf2627e640009a9b105;4690-21-SP-CCE;1020.2021/0009803-8;Certificado de Conclusão;133-20-SP-SAO
6101569143e2fe0008aa5b2e;5015-21-SP-CCE;1020.2021/0010344-9;Certificado de Conclusão;#2114-21-SP-NEW
610ad54559728800082fc6fd;5240-21-SP-CCE;1020.2021/0010582-4;Certificado de Conclusão;369-20-SP-SAO
611feeccfdc79b0008f46247;5780-21-SP-CCE;1020.2021/0011872-1;Certificado de Conclusão;2663-21-SP-REF
61255be55dd1c0000873a133;5897-21-SP-CCE;1020.2021/0011684-2;Certificado de Conclusão;1394-21-SP-NEW
612fa437565f4b0008d1f228;6194-21-SP-CCE;1020.2021/0012705-4;Certificado de Conclusão;733-20-SP-SAO
6152ff5c2b7bb400083619dd;6927-21-SP-CCE;1020.2021/0014564-8;Certificado de Conclusão;1273-21-SP-NEW
616837eb0e2a390009f13ae7;7324-21-SP-CCE;1020.2021/0015465-5;Certificado de Conclusão;1204-21-SP-SAO
6197bb1d5fbdba00091194a8;8363-21-SP-CCE;1020.2021/0018377-9;Certificado de Conclusão;312-20-SP-SAO
6197db111ef3800008848bc4;8369-21-SP-CCE;1020.2021/0017960-7;Certificado de Conclusão;2056-21-SP-SAO
61a15e9151c2d800080b685a;8683-21-SP-CCE;1020.2021/0018324-8;Certificado de Conclusão;517-20-SP-SAO
61ddc3ba49902c000857ebad;9964-22-SP-CCE;1020.2022/0000294-6;Certificado de Conclusão;3638-21-SP-ALV
61def020c84052000909ec0d;9995-22-SP-CCE;1020.2022/0000321-7;Certificado de Conclusão;1626-21-SP-NEW
61e1825cdead520009d22931;10072-22-SP-CCE;1020.2022/0000603-8;Certificado de Conclusão;1872-21-SP-SAO
61e1b54059d8c40009470b3b;10076-22-SP-CCE;1020.2022/0000650-0;Certificado de Conclusão;1771-21-SP-SAO
61e71664bff87600097384c1;10159-22-SP-CCE;1020.2022/0000723-9;Certificado de Conclusão;3664-21-SP-ALV
61e88643ebcbd3000988b82a;10212-22-SP-CCE;1020.2022/0000722-0;Certificado de Conclusão;1262-21-SP-NEW
62013139f086aa00097f78a9;10666-22-SP-CCE;1020.2022/0001548-7;Certificado de Conclusão;2055-21-SP-SAO
620a5c5ff224c60009211b5a;10885-22-SP-CCE;1020.2022/0001868-0;Certificado de Conclusão;357-20-SP-SAO
620a6a1bdb1259000918e79b;10891-22-SP-CCE;1020.2022/0002132-0;Certificado de Conclusão;2829-21-SP-ALV
6214df001a005900092eafc6;11159-22-SP-CCE;1020.2022/0007079-8;Certificado de Conclusão;3375-21-SP-ALV
6218f36e334381000aa7abc3;11315-22-SP-CCE;1020.2022/0002949-6;Certificado de Conclusão;1723-21-SP-SAO
621f7f1bc220c70009bb60f3;11367-22-SP-CCE;1020.2022/0002860-0;Certificado de Conclusão;681-20-SP-SAO
6220fd7c967dda0009ac288f;11397-22-SP-CCE;1020.2022/0002856-2;Certificado de Conclusão;433-20-SP-SAO
6222317050bec90009de9c19;11429-22-SP-CCE;1020.2022/0002859-7;Certificado de Conclusão;295-20-SP-SAO
62265434f4b5c80009f0ac0b;11481-22-SP-CCE;1020.2022/0002934-8;Certificado de Conclusão;24-20-SP-SAO
62265b16ac4574000950a447;11482-22-SP-CCE;1020.2022/0002932-1;Certificado de Conclusão;1948-21-SP-SAO
62267047a41e360009fdae71;11493-22-SP-CCE;1020.2022/0002933-0;Certificado de Conclusão;308-20-SP-SAO
622782c6fd647b0009086875;11525-22-SP-CCE;1020.2022/0002942-9;Certificado de Conclusão;348-20-SP-SAO
622783d42fd1800009b39751;11526-22-SP-CCE;1020.2022/0003267-5;Certificado de Conclusão;448-20-SP-SAO
62279ad38a3c9900093c451a;11531-22-SP-CCE;1020.2022/0003351-5;Certificado de Conclusão;2712-21-SP-ALV
622b51d7b7109e000987f6a1;11625-22-SP-CCE;1020.2022/0003679-4;Certificado de Conclusão;2301-21-SP-SAO
622bab726345ef0009603e34;11654-22-SP-CCE;1020.2022/0003555-0;Certificado de Conclusão;2290-21-SP-SAO
622f81703af7060009409fe6;11687-22-SP-CCE;1020.2022/0003791-0;Certificado de Conclusão;2079-21-SP-SAO
6232168b391ca4000907a766;11776-22-SP-CCE;1020.2022/0004113-5;Certificado de Conclusão;562-20-SP-SAO
623b1eb52012d90009b1a7a8;12019-22-SP-CCE;1020.2022/0004283-2;Certificado de Conclusão;3820-21-SP-ALV
623dfd4b4b662400096e73bf;12109-22-SP-CCE;1020.2022/0004677-3;Certificado de Conclusão;1419-21-SP-SAO
6245f3df8fead800099ce839;12290-22-SP-CCE;1020.2022/0006529-8;Certificado de Conclusão;43-20-SP-SAO
62460433c49a2e0009ec0f62;12296-22-SP-CCE;1020.2022/0005994-8;Certificado de Conclusão;2606-21-SP-ALV
6247450d9dd35f0009b8f2b0;12331-22-SP-CCE;1020.2022/0005592-6;Certificado de Conclusão;224-20-SP-SAO
624c49dfcd4aad0009777915;12398-22-SP-CCE;1020.2022/0005907-7;Certificado de Conclusão;1660-21-SP-SAO
624c85dcbc354c00098c510e;12416-22-SP-CCE;1020.2022/0005911-5;Certificado de Conclusão;1993-21-SP-NEW
624e033773c9a40009de9fcb;12459-22-SP-CCE;1020.2022/0006530-1;Certificado de Conclusão;2479-21-SP-SAO
6250bd2bcbeda7000940b977;12529-22-SP-CCE;1020.2022/0006383-0;Certificado de Conclusão;8210-21-SP-ALV
6256aea7c1289e00096553ff;12645-22-SP-CCE;1020.2022/0006946-3;Certificado de Conclusão;1758-21-SP-SAO
6256f7371bda9d000992bf4d;12656-22-SP-CCE;1020.2022/0006934-0;Certificado de Conclusão;1768-21-SP-SAO
625745f1ced8310009966e87;12693-22-SP-CCE;1020.2022/0007077-1;Certificado de Conclusão;239-20-SP-SAO
62574d5180341e0009f77558;12697-22-SP-CCE;1020.2022/0007068-2;Certificado de Conclusão;1774-21-SP-SAO
625817bfcb83cb000919be31;12702-22-SP-CCE;1020.2022/0008231-1;Certificado de Conclusão;2122-21-SP-SAO
626002f415d4320009cc86d2;12837-22-SP-CCE;1020.2022/0007087-9;Certificado de Conclusão;7202-21-SP-ALV
62602842929b030009fe0efc;12848-22-SP-CCE;1020.2022/0007082-8;Certificado de Conclusão;1273-21-SP-NEW
6266a5542b09fe0009f8caa1;12898-22-SP-CCE;1020.2022/0007225-1;Certificado de Conclusão;10249-22-SP-ALV
6266b105926f920009bbb9b8;12904-22-SP-CCE;1020.2022/0007224-3;Certificado de Conclusão;514-20-SP-SAO
6266e21984e9ad0009381b4d;12918-22-SP-CCE;1020.2022/0007634-6;Certificado de Conclusão;1778-21-SP-SAO
62681329894f05000924de8e;12963-22-SP-CCE;1020.2022/0007731-8;Certificado de Conclusão;1474-21-SP-SAO
626955ecc843dc00094f1e05;13007-22-SP-CCE;1020.2022/0007840-3;Certificado de Conclusão;2878-21-SP-ALV
626ac97175e0ea000944d1e8;13062-22-SP-CCE;1020.2022/0009950-8;Certificado de Conclusão;1004-21-SP-SAO
626acb3d6b25170009a11b06;13064-22-SP-CCE;1020.2022/0009951-6;Certificado de Conclusão;1126-21-SP-SAO
62702e2af451a70009339365;13146-22-SP-CCE;1020.2022/0007851-9;Certificado de Conclusão;1618-21-SP-NEW
62712e07180ae300090400f7;13172-22-SP-CCE;1020.2022/0008307-5;Certificado de Conclusão;4178-21-SP-REF
627161c9ef4b660009ed75ff;13188-22-SP-CCE;1020.2022/0008078-5;Certificado de Conclusão;956-21-SP-NEW
62718393186adb000976a57b;13199-22-SP-CCE;1020.2022/0008077-7;Certificado de Conclusão;1218-21-SP-NEW
62728845d96c17000914105b;13228-22-SP-CCE;1020.2022/0008084-0;Certificado de Conclusão;4267-21-SP-ALV
62728b5e7cbeed0009525be8;13231-22-SP-CCE;1020.2022/0008083-1;Certificado de Conclusão;8616-21-SP-ALV
62793bf607c8ca0009cf41d0;13388-22-SP-CCE;1020.2022/0008338-5;Certificado de Conclusão;3878-21-SP-ALV
627a4b02e8331a0009604934;13431-22-SP-CCE;1020.2022/0008749-6;Certificado de Conclusão;4982-21-SP-ALV
627abe0691f11b00091f6dd0;13465-22-SP-CCE;1020.2022/0008524-8;Certificado de Conclusão;854-20-SP-SAO
627bcb4afa26a60009340a63;13488-22-SP-CCE;1020.2022/0008523-0;Certificado de Conclusão;2849-21-SP-ALV
627d71f3428add00096e163d;13567-22-SP-CCE;1020.2022/0008968-5;Certificado de Conclusão;521-20-SP-SAO
6283e7a6c3ba610009c40079;13709-22-SP-CCE;1020.2022/0009119-1;Certificado de Conclusão;4209-21-SP-ALV
6284f82c10a2bb000946e9f4;13733-22-SP-CCE;1020.2022/0008964-2;Certificado de Conclusão; 277-20-SP-SAO
628519579c68f00009a1416e;13746-22-SP-CCE;1020.2022/0009206-6;Certificado de Conclusão;5283-21-SP-ALV
62864eb7f3ed460009959f4d;13797-22-SP-CCE;1020.2022/0009229-5;Certificado de Conclusão; 3357-21-SP-ALV
6286508b9fb9f40009b40a22;13798-22-SP-CCE;1020.2022/0009949-4;Certificado de Conclusão;1866-21-SP-NEW
628675ca0657210009f51aa1;13807-22-SP-CCE;1020.2022/0009058-6;Certificado de Conclusão;13059-22-SP-ALV
6287b85e0ea25a0009c0859c;13846-22-SP-CCE;1020.2022/0009222-8;Certificado de Conclusão;556-20-SP-SAO
628b88e32566cb000954fd32;13893-22-SP-CCE;1020.2022/0009228-7;Certificado de Conclusão;5905-21-SP-ALV
628bfa8aeb232000092f0824;13947-22-SP-CCE;1020.2022/0009481-6;Certificado de Conclusão;250-20-SP-SAO
628e8550e5084e0009c4549e;14060-22-SP-CCE;1020.2022/0009700-9;Certificado de Conclusão;7731-21-SP-ALV
62911d5ef0ad29000964ef57;14177-22-SP-CCE;1020.2022/0009540-5;Certificado de Conclusão;4190-21-SP-ALV
62977d5e03375700096bc113;14324-22-SP-CCE;1020.2022/0010160-0;Certificado de Conclusão;4938-21-SP-ALV
6297b3f561d85c00092dcc6f;14343-22-SP-CCE;1020.2022/0009862-5;Certificado de Conclusão;12982-22-SP-ALV
6299f62810c1090009d06886;14410-22-SP-CCE;1020.2022/0010300-9;Certificado de Conclusão;2437-21-SP-SAO
629a105655ae960009db3950;14422-22-SP-CCE;1020.2022/0010033-6;Certificado de Conclusão;1995-21-SP-NEW
629e40234c1cb0000979f3e0;14487-22-SP-CCE;1020.2022/0010309-2;Certificado de Conclusão;2980-21-SP-ALV
629e55909f9b110009c7f8e7;14502-22-SP-CCE;1020.2022/0010306-8;Certificado de Conclusão;5836-21-SP-ALV
629f356925ccf10009379f87;14516-22-SP-CCE;1020.2022/0010419-6;Certificado de Conclusão;6530-21-SP-ALV
629f689cd2ca14000968f25e;14532-22-SP-CCE;1020.2022/0010491-9;Certificado de Conclusão;1800-21-SP-SAO
629fb6dc3d61730009f2d7ec;14564-22-SP-CCE;1020.2022/0010772-1;Certificado de Conclusão;4475-21-SP-ALV
629fcb743d537a0009389119;14573-22-SP-CCE;1020.2022/0010503-6;Certificado de Conclusão;10430-22-SP-ALV
62a219c9f9fdf0000939d355;14649-22-SP-CCE;1020.2022/0010666-0;Certificado de Conclusão;1788-21-SP-SAO
62a3a147a0160c0009abc2fd;14752-22-SP-CCE;1020.2022/0010510-9;Certificado de Conclusão;13955-22-SP-ALV
62a796f30ee5700009f12da5;14824-22-SP-CCE;1020.2022/0010597-4;Certificado de Conclusão;4162-21-SP-ALV
62aa08ac3223b80009422efd;14940-22-SP-CCE;1020.2022/0010803-5;Certificado de Conclusão;8580-21-SP-ALV
62aa14480860f400091cb440;14945-22-SP-CCE;1020.2022/0011056-0;Certificado de Conclusão;6879-21-SP-ALV
62acbb880458de0009217e3a;15013-22-SP-CCE;1020.2022/0010795-0;Certificado de Conclusão;1419-21-SP-SAO
62b0b5429d10ae000925dcd1;15067-22-SP-CCE;1020.2022/0011236-9;Certificado de Conclusão;3154-21-SP-ALV
62b0c077dafc6a00096ae273;15073-22-SP-CCE;1020.2022/0011801-4;Certificado de Conclusão;6796-21-SP-REF
62b214868ac32f000971c367;15138-22-SP-CCE;1020.2022/0011214-8;Certificado de Conclusão;5388-21-SP-ALV
62b33ad0ebf8ed0009b4f067;15191-22-SP-CCE;1020.2022/0011420-5;Certificado de Conclusão;3149-21-SP-ALV
62b3595356e6540009647701;15207-22-SP-CCE;1020.2022/0011732-8;Certificado de Conclusão;2702-21-SP-ALV
