n_processo;assunto;status;data_deferimento;tipo_de_localizacao;localizacao;endereco;cep;categoria_uso;numero_documento;certf_conclusao_tipo;area_objeto_certf_concl
1020.2021/0009803-8;Certificado de Conclusão;deferido;03/09/2021 16:40:09;SQL;068.331.0010-1;RUA CORONEL JORDAO, 632, 12;02075030;HIS;4690-21-SP-CCE;Totalmente;2484.56
1020.2021/0010344-9;Certificado de Conclusão;deferido;20/04/2022 14:55:38;SQL;070.177.0030-9;AV   NOVA CANTAREIRA, 1053, AGUA FRIA;02331001;;5015-21-SP-CCE;Totalmente;
1020.2021/0011872-1;Certificado de Conclusão;deferido;04/10/2021 16:22:40;SQL;049.025.0049-3;AV do Cursino, 1623, Esquina com Rua Filipe Cardoso, 494, Jardim da Saúde;04133100;nR1, nR1-2, nR1-6;5780-21-SP-CCE;Totalmente;412.23
1020.2021/0012705-4;Certificado de Conclusão;deferido;17/03/2022 20:46:33;SQL;068.204.0011-1;Rua Cachoeira do Arari, s/n, Vila Guilherme;02078001;HIS;6194-21-SP-CCE;Totalmente;1087.13
1020.2021/0015465-5;Certificado de Conclusão;deferido;25/04/2022 15:52:38;SQL;069.013.0034-4;RUA MARINHEIRO, 366, TUCURUVI;02303000;HIS;7324-21-SP-CCE;Totalmente;448.3
1020.2021/0018377-9;Certificado de Conclusão;deferido;07/04/2022 20:32:51;SQL;169.013.0017-3;Rua Capanezinho, 178;05752400;HIS;8363-21-SP-CCE;Totalmente;217.99
1020.2021/0017960-7;Certificado de Conclusão;deferido;03/03/2022 15:51:19;SQL;051.082.0032-3;RUA MANDERA, 294 ( CASA A) 298 ( CASA B) E 302 ( CASA C), VILA ALPINA;03205020;R2h, R2h-1;8369-21-SP-CCE;Totalmente;309.57
1020.2021/0018324-8;Certificado de Conclusão;deferido;10/03/2022 15:07:40;SQL;111.360.0011-8;RUA DOUTOR RENATO DA COSTA BONFIM, 251, PQ BOTURUSSU;03805100;R2h, R2h-3;8683-21-SP-CCE;Totalmente;343.41
1020.2022/0000294-6;Certificado de Conclusão;deferido;22/03/2022 20:08:06;SQL;055.353.0024-1;RUA ZAMBEZE, 402, VILA MANCHESTER;03441000;HIS;9964-22-SP-CCE;Totalmente;10087.13
1020.2022/0000321-7;Certificado de Conclusão;deferido;11/01/2023 15:05:42;SQL;043.041.0018-1;R DR  MARIO VICENTE, 1686, CASA, VILA DOM PEDRO I;04270002;HIS;9995-22-SP-CCE;Totalmente;300.47
1020.2022/0000603-8;Certificado de Conclusão;deferido;30/03/2022 15:27:14;SQL;068.490.0010-1;RUA ALVES PORTO, 63, VILA MEDEIROS;02215040;R2h, R2h-1;10072-22-SP-CCE;Totalmente;235.29
1020.2022/0000650-0;Certificado de Conclusão;deferido;24/03/2022 12:00:14;SQL;121.103.0012-3;RUA TABARÉ, 83, CAMPO GRANDE;04446000;R2h, R2h-1;10076-22-SP-CCE;Totalmente;281.66
1020.2022/0000723-9;Certificado de Conclusão;deferido;06/06/2022 19:32:48;SQL;120.003.0012-9;Rua Rubem de Souza, 349, Vila Inglesa;04653170;HIS;10159-22-SP-CCE;Totalmente;875.42
