n_processo;assunto;status;data_deferimento;tipo_de_localizacao;localizacao;endereco;cep;distrito;subprefeitura;categoria_uso;numero_documento;certf_conclusao_tipo;area_objeto_certf_concl
1020.2021/0009803-8;Certificado de Conclusão;deferido;03/09/2021 16:40:09;SQL;068.331.0010-1;RUA CORONEL JORDAO, 632, 12;02075030;VILA GUILHERME;;HIS;4690-21-SP-CCE;Totalmente;2484.56
1020.2021/0010344-9;Certificado de Conclusão;deferido;20/04/2022 14:55:38;SQL;070.177.0030-9;AV   NOVA CANTAREIRA, 1053, AGUA FRIA;02331001;ST - SANTANA-TUCURUVI;;;5015-21-SP-CCE;Totalmente;
1020.2021/0011872-1;Certificado de Conclusão;deferido;04/10/2021 16:22:40;SQL;049.025.0049-3;AV do Cursino, 1623, Esquina com Rua Filipe Cardoso, 494, Jardim da Saúde;04133100;Jardim da Saúde;;nR1, nR1-2, nR1-6;5780-21-SP-CCE;Totalmente;412.23
1020.2021/0012705-4;Certificado de Conclusão;deferido;17/03/2022 20:46:33;SQL;068.204.0011-1;Rua Cachoeira do Arari, s/n, Vila Guilherme;02078001;Vila Guilherme;;HIS;6194-21-SP-CCE;Totalmente;1087.13
1020.2021/0015465-5;Certificado de Conclusão;deferido;25/04/2022 15:52:38;SQL;069.013.0034-4;RUA MARINHEIRO, 366, TUCURUVI;02303000;TUCURUVI;;HIS;7324-21-SP-CCE;Totalmente;448.3
1020.2021/0018377-9;Certificado de Conclusão;deferido;07/04/2022 20:32:51;SQL;169.013.0017-3;Rua Capanezinho, 178;05752400;Jardim Maria Duarte;;HIS;8363-21-SP-CCE;Totalmente;217.99
1020.2021/0017960-7;Certificado de Conclusão;deferido;03/03/2022 15:51:19;SQL;051.082.0032-3;RUA MANDERA, 294 ( CASA A) 298 ( CASA B) E 302 ( CASA C), VILA ALPINA;03205020;VILA ALPINA;;R2h, R2h-1;8369-21-SP-CCE;Totalmente;309.57
1020.2021/0018324-8;Certificado de Conclusão;deferido;10/03/2022 15:07:40;SQL;111.360.0011-8;RUA DOUTOR RENATO DA COSTA BONFIM, 251, PQ BOTURUSSU;03805100;PQ BOTURUSSU;;R2h, R2h-3;8683-21-SP-CCE;Totalmente;343.41
1020.2022/0000294-6;Certificado de Conclusão;deferido;22/03/2022 20:08:06;SQL;055.353.0024-1;RUA ZAMBEZE, 402, VILA MANCHESTER;03441000;VILA MANCHESTER;;HIS;9964-22-SP-CCE;Totalmente;10087.13
1020.2022/0000321-7;Certificado de Conclusão;deferido;11/01/2023 15:05:42;SQL;043.041.0018-1;R DR  MARIO VICENTE, 1686, CASA, VILA DOM PEDRO I;04270002;IP - IPIRANGA;;HIS;9995-22-SP-CCE;Totalmente;300.47
1020.2022/0000603-8;Certificado de Conclusão;deferido;30/03/2022 15:27:14;SQL;068.490.0010-1;RUA ALVES PORTO, 63, VILA MEDEIROS;02215040;VILA MEDEIROS;;R2h, R2h-1;10072-22-SP-CCE;Totalmente;235.29
1020.2022/0000650-0;Certificado de Conclusão;deferido;24/03/2022 12:00:14;SQL;121.103.0012-3;RUA TABARÉ, 83, CAMPO GRANDE;04446000;CAMPO GRANDE;;R2h, R2h-1;10076-22-SP-CCE;Totalmente;281.66
1020.2022/0000723-9;Certificado de Conclusão;deferido;06/06/2022 19:32:48;SQL;120.003.0012-9;Rua Rubem de Souza, 349, Vila Inglesa;04653170;Vila Inglesa;;HIS;10159-22-SP-CCE;Totalmente;875.42
1020.2022/0000722-0;Certificado de Conclusão;deferido;03/07/2023 19:00:04;SQL;055.351.0107-9;R   JERICINO, 497, Parte do Lote 861A da Quadra 47, VL. NOVA MANCHESTER;03442000;AR - ARICANDUVA;;HIS;10212-22-SP-CCE;Totalmente;461.39
1020.2022/0001548-7;Certificado de Conclusão;deferido;25/05/2022 17:25:43;SQL;061.028.0057-5;Rua Paracanã, 34, Jardim Concórdia ;03637030;Jardim Concórdia ;;HIS;10666-22-SP-CCE;Totalmente;1213.21
1020.2022/0001868-0;Certificado de Conclusão;deferido;19/04/2022 12:33:15;SQL;069.067.0053-7;RUA TOMÉ PORTES, 12.3;02241010;VILA DOM PEDRO II;;HIS;10885-22-SP-CCE;Totalmente;1101.36
1020.2022/0002132-0;Certificado de Conclusão;deferido;07/04/2022 14:54:39;SQL;078.171.0047-0;Rua Professor Jose Nicolau Piragine , 67, Chácara inglesa;05140080;Chácara inglesa;;R2h, R2h-1;10891-22-SP-CCE;Totalmente;230.92
1020.2022/0007079-8;Certificado de Conclusão;deferido;11/05/2022 12:44:02;SQL;118.242.0005-5;RUA ABAIU ESQUINA COM A RUA IELMO MARINHO, 29,37 E 41, Vila Macedopolis;03237040;Vila Macedopolis;;R2h, R2h-1;11159-22-SP-CCE;Totalmente;218.05
1020.2022/0002949-6;Certificado de Conclusão;deferido;19/01/2023 16:32:39;SQL;062.118.0018-5;GOVERNADOR MENEZES, 62, 0, TATUAPE;03085005;TATUAPE;;HIS;11315-22-SP-CCE;Totalmente;319.8
1020.2022/0002860-0;Certificado de Conclusão;deferido;02/06/2022 19:14:45;SQL;067.106.0034-3;RUA SILVERIO NERI, 55, STA TEREZINHA;02271030;STA TEREZINHA;;HIS;11367-22-SP-CCE;Totalmente;762.22
1020.2022/0002856-2;Certificado de Conclusão;deferido;02/06/2022 19:12:35;SQL;150.273.0022-1;Rua João Batista Bianchi, 421, Vila Flavia;03966010;Vila Flavia;;HIS;11397-22-SP-CCE;Totalmente;442.77
1020.2022/0002859-7;Certificado de Conclusão;deferido;06/05/2022 15:21:19;SQL;067.227.0040-2;Rua Dragões da Independência, 7;02253000;Tucuruvi;;;11429-22-SP-CCE;Totalmente;
1020.2022/0002934-8;Certificado de Conclusão;deferido;08/04/2022 11:25:14;SQL;062.114.0024-1;Rua Tuiuti, 7;03081015;Tatuapé;;HIS;11481-22-SP-CCE;Totalmente;515.92
1020.2022/0002932-1;Certificado de Conclusão;deferido;22/09/2023 11:20:44;SQL;046.106.0048-1;RUA IBIRAREMA, 270, CURSINO;04136000;CURSINO;;HIS, nR1, nR1-3;11482-22-SP-CCE;Totalmente;515.67
1020.2022/0002933-0;Certificado de Conclusão;deferido;28/04/2022 16:20:27;SQL;052.041.0010-5;AVENIDA SAPOPEMBA, 7.35;03345000;ÁGUA RASA;;HIS;11493-22-SP-CCE;Totalmente;597.14
1020.2022/0002942-9;Certificado de Conclusão;deferido;19/06/2022 12:42:21;SQL;069.078.0038-1;RUA SARGENTO MÓR RAMALHO, 25.5;02241060;VILA DOM PEDRO II;;HIS;11525-22-SP-CCE;Totalmente;734.61
1020.2022/0003267-5;Certificado de Conclusão;deferido;23/05/2022 15:38:50;SQL;115.211.0068-2;RUA CORONEL MANUEL MACHADO, 196, GUAIANASES;08411145;GUAIANASES;;R2h, R2h-3;11526-22-SP-CCE;Totalmente;732.36
1020.2022/0003351-5;Certificado de Conclusão;deferido;29/03/2022 16:19:33;SQL;090.139.0003-8;RUA TONINHAS , 403, CHACARA CAMPO GRANDE;04691040;CHACARA CAMPO GRANDE;;R2h, R2h-1;11531-22-SP-CCE;Totalmente;339.5
1020.2022/0003679-4;Certificado de Conclusão;deferido;09/05/2022 14:53:46;SQL;152.353.0009-1;Rua Francisco A. De Barros, 123,127 ,129, Parque São Rafael;08320270;Parque São Rafael;;R2h, R2h-1;11625-22-SP-CCE;Totalmente;269.39
1020.2022/0003555-0;Certificado de Conclusão;deferido;27/06/2022 14:42:30;SQL;068.060.0013-4;RUA MALIE BRENNER, 477, TUCURUVI;02243020;TUCURUVI;;;11654-22-SP-CCE;Totalmente;
1020.2022/0003791-0;Certificado de Conclusão;deferido;29/04/2022 13:52:30;SQL;152.143.0009-2;RUA CACHOEIRA DE MINAS, 61, LT.9 QD.29, JARDIM SANTA ADELIA;03973050;JARDIM SANTA ADELIA;;R2h, R2h-3;11687-22-SP-CCE;Totalmente;245.82
1020.2022/0004113-5;Certificado de Conclusão;deferido;20/05/2022 15:02:25;SQL;067.365.0009-5;RUA ALBERTO D'AVERSA, 144, JAÇANÃ;02272090;JAÇANÃ;;HIS;11776-22-SP-CCE;Totalmente;698.31
1020.2022/0004283-2;Certificado de Conclusão;deferido;12/04/2022 19:36:46;SQL;107.462.0006-3;Rua Marcelino Simões, 124, Vila Cruz das Almas;02804000;Vila Cruz das Almas;;;12019-22-SP-CCE;Totalmente;
1020.2022/0006529-8;Certificado de Conclusão;deferido;02/06/2022 18:13:52;SQL;042.201.0016-4;Rua Leandro Dupret, 636;04025021;V. Mariana;;R2v, R2v-1;12290-22-SP-CCE;Totalmente;387.19
1020.2022/0005994-8;Certificado de Conclusão;deferido;20/04/2022 16:52:24;SQL;072.030.0007-9;Rua Pelegrino, 314, Jardom do Colégio (Zona Norte);02431140;Jardom do Colégio (Zona Norte);;R2h, R2h-1;12296-22-SP-CCE;Totalmente;286.06
1020.2022/0005592-6;Certificado de Conclusão;deferido;24/06/2022 16:40:10;SQL;044.108.0003-5;RUA MONTEIRO SOARES FILHO, 10;03141010;VILA PRUDENTE;;HIS;12331-22-SP-CCE;Totalmente;606.44
1020.2022/0005907-7;Certificado de Conclusão;deferido;16/05/2022 17:22:16;SQL;067.224.0102-2;Av. Maestro Vila Lobos, 161, Vila Gustavo;02266000;Vila Gustavo;;HIS;12398-22-SP-CCE;Totalmente;665.3
1020.2022/0005911-5;Certificado de Conclusão;deferido;22/09/2023 11:41:51;SQL;069.015.0088-2;R   CARANGUEJO, 72, Vila Mazzei ;02307000;ST - SANTANA-TUCURUVI;;HIS;12416-22-SP-CCE;Totalmente;378.46
1020.2022/0006530-1;Certificado de Conclusão;deferido;23/05/2022 15:10:14;SQL;105.030.0041-7;Rua Giovanni Narcisi, 40,42 E 44, Jardim Jaraguá;05159360;Jardim Jaraguá;;R2h, R2h-1;12459-22-SP-CCE;Totalmente;315.58
1020.2022/0006383-0;Certificado de Conclusão;deferido;07/07/2022 14:17:38;SQL;058.003.0007-0;RUA MARIA CARLOTA , 623, VILA ESPERANÇA ;03647000;VILA ESPERANÇA ;;HIS, R2v;12529-22-SP-CCE;Totalmente;1393.84
1020.2022/0006946-3;Certificado de Conclusão;deferido;23/05/2022 16:12:02;SQL;303.068.0057-5;RUA TECLA, 27, VILA OLINDA;03380260;VILA OLINDA;;R2h, R2h-1;12645-22-SP-CCE;Totalmente;261.98
1020.2022/0006934-0;Certificado de Conclusão;deferido;23/05/2022 16:01:19;SQL;146.086.0023-1;Rua Ararandeua, 110, Jardim Brasilia;03583100;Jardim Brasilia;;R2h, R2h-1;12656-22-SP-CCE;Totalmente;302.77
1020.2022/0007077-1;Certificado de Conclusão;deferido;10/01/2023 16:38:11;SQL;113.349.0008-5;Rua Geraldo Pimentel Dias, 48, Burgo Paulista;03582010;Burgo Paulista;;HIS;12693-22-SP-CCE;Totalmente;540.48
1020.2022/0007068-2;Certificado de Conclusão;deferido;23/05/2022 16:37:25;SQL;101.579.0018-4;Rua Etelvina Pedroso de Gouveia, 150, 0, Vila Gomes;05590160;Vila Gomes;;R2h, R2h-1;12697-22-SP-CCE;Totalmente;394.7
1020.2022/0008231-1;Certificado de Conclusão;deferido;01/06/2022 12:22:59;SQL;061.154.0074-0;RUA CUPA , 213, PENHA DE FRANÇA;03640000;PENHA DE FRANÇA;;R2h, R2h-3;12702-22-SP-CCE;Totalmente;189.42
1020.2022/0007087-9;Certificado de Conclusão;deferido;07/07/2022 16:04:25;SQL;198.114.0013-9;Rua Humberto Bortolo , 49, Bortolândia;02352000;Bortolândia;;R2h, R2h-1;12837-22-SP-CCE;Totalmente;274.88
1020.2022/0007082-8;Certificado de Conclusão;deferido;18/01/2023 20:07:34;SQL;152.136.0043-2;R DESEM  SILVA PEREIRA, 22, SÃO MATEUS;03970010;SM - SÃO MATEUS;;HIS;12848-22-SP-CCE;Totalmente;453.01
1020.2022/0007225-1;Certificado de Conclusão;deferido;08/07/2022 18:04:48;Código do Imóvel Rural (número do cadastro no INCRA);;RUA GENERAL DIAS, 263, PENHA DE FRANÇA;03638010;PENHA DE FRANÇA;;HMP;12898-22-SP-CCE;Totalmente;1933.99
1020.2022/0007224-3;Certificado de Conclusão;deferido;13/09/2022 16:48:14;SQL;056.205.0017-9;RUA JOAQUIM PINTO, 60, 50, 42, 42 FUNDOS, TATUAPÉ;03319110;TATUAPÉ;;HIS;12904-22-SP-CCE;Totalmente;4728.87
1020.2022/0007634-6;Certificado de Conclusão;deferido;04/08/2022 15:08:49;SQL;051.149.0002-1;RUA TAPAJI, 239,243 E 247, vila prudente;03207050;vila prudente;;R2h, R2h-1;12918-22-SP-CCE;Totalmente;290.48
1020.2022/0007731-8;Certificado de Conclusão;deferido;23/05/2022 17:17:11;SQL;102.074.0011-2;rua princesa maria pia, sn, sao lucas;03274120;sao lucas;;R1;12963-22-SP-CCE;Totalmente;341.44
1020.2022/0007840-3;Certificado de Conclusão;deferido;26/05/2022 11:02:44;SQL;051.148.0020-5;Rua Catuaba, 421, Vila Prudente;03208000;Vila Prudente;;R2h, R2h-1;13007-22-SP-CCE;Totalmente;201.14
1020.2022/0009950-8;Certificado de Conclusão;deferido;22/11/2022 15:04:00;SQL;111.381.0007-1;Rua Bei, 39, Vila Paranaguá;03805180;Vila Paranaguá;;HIS;13062-22-SP-CCE;Totalmente;547.87
1020.2022/0009951-6;Certificado de Conclusão;deferido;22/11/2022 15:02:10;SQL;115.232.0007-2;Rua Ideal, 123, Cidade Popular;08461150;Cidade Popular;;HIS;13064-22-SP-CCE;Totalmente;1018.86
1020.2022/0008307-5;Certificado de Conclusão;deferido;16/08/2022 13:46:54;SQL;041.157.0066-1;AVENIDA PAVÃO, 580, INDIANOPOLIS;04516012;INDIANOPOLIS;;nR1, nR1-3;13172-22-SP-CCE;Totalmente;178.38
1020.2022/0008078-5;Certificado de Conclusão;deferido;16/11/2023 10:56:53;SQL;105.112.0042-1;R   FONTES DA SILVA, 540, JARDIM REGINA;05174260;PJ - PIRITUBA-JARAGUA;;HIS;13188-22-SP-CCE;Totalmente;332.19
1020.2022/0008084-0;Certificado de Conclusão;deferido;12/07/2022 14:44:43;SQL;069.198.0011-1;RUA DOUTOR NATALINO RIGHETO , 425, TUCURUVI;02303130;TUCURUVI;;HIS;13228-22-SP-CCE;Totalmente;492.65
