id;n_processo;assunto;setor_atual;status;sistema
5f4d5f67f1506500076de309;1010.2020/0005874-9;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;desistido;Aprova Digital
5f4d82d97e92e0000840e44b;1010.2020/0006241-0;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);CAP;deferido;Aprova Digital
5f5f7c6ce3ec970008292ac8;1010.2020/0006754-3;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;Aprova Digital
5f5f96a249bd25000856fde8;1010.2020/0006559-1;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
5f5fb39c6277940008ad1998;1010.2020/0006787-0;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;Aprova Digital
5f5fbc6a160066000813eb46;1010.2020/0006558-3;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
5f610f9c498b2e0008de94ce;1010.2020/0007422-1;Certificado de Acessibilidade;CAP;em análise;Aprova Digital
5f62580ce018b90008a28951;1010.2020/0007052-8;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;CONTRU;deferido;Aprova Digital
5f6259f5e018b90008a28954;1010.2020/0006801-9;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;desistido;Aprova Digital
5f6267a0a109fe0008d29a95;1010.2020/0007034-0;Cadastro de Sistema Especial de Segurança;CONTRU;deferido;Aprova Digital
5f6274b425e3390008d4b94b;1010.2020/0007418-3;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;CONTRU;indeferido e encerrado;Aprova Digital
5f64d5fa7cf2e50008cf9c54;1010.2020/0006791-8;Certificado de Estanqueidade;CONTRU;em análise;Aprova Digital
5f68cbf42669220008a441fe;1010.2020/0006790-0;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;Aprova Digital
5f69fc575b088c0008cadee1;1010.2020/0007192-3;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);COMIN;em análise;Aprova Digital
5f6a3ecda391710008539ea0;1010.2020/0007035-8;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;em análise;Aprova Digital
5f6a577549e7510008cebe20;1010.2020/0006853-1;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);CAP;em análise;Aprova Digital
5f6a588e49e7510008cebe23;1010.2020/0007926-6;Certificado de Acessibilidade;CAP;indeferido e encerrado;Aprova Digital
5f6bb6bb7292770008740042;1010.2020/0007037-4;Alvará de Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
5f6de4829e4a230008e90fc0;1010.2020/0007036-6;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);COMIN;desistido;Aprova Digital
5f7379a242d7500008dcfe74;1010.2020/0007370-5;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
5f749caf5b56da0008e79cfb;1010.2020/0007464-7;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);RESID;indeferido;Aprova Digital
5f75cb60073a5d0008e6fb23;1010.2020/0007462-0;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
5f763a9ccc25c80008d19d22;1010.2020/0007706-9;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
